"","Phage_B","Phage_F","Phage_G","gpD","Microvir_lysis","Microvir_H","Microvir_J","Phage_GPA","Phage_C"
"5_major_capsid_protein",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"20_major_capsid_protein",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"94_A",NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"96_B",TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"98_C",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"99_D",NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"100_E",NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"101_J",NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"102_F",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"103_G",NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"104_H",NA,NA,NA,NA,NA,TRUE,NA,NA,NA
