source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Smacoviridae/Smacoviridae_all_homologues_19062021_0820_intersection	1_capsid_protein.faa	2_replication_associat...faa	16_ORF2.faa	32_ORF3_protein.faa	33_replication-associat...faa	34_capsid_protein.faa	43_ORF5.faa	44_ORF3.faa	45_ORF6.faa	47_ORF4.faa	75_hypothetical_protein.faa	78_hypothetical_protein.faa	97_Rep_protein.faa
Alces-alces-faeces-associated-smacovirus-MP78_taxid_2219142.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-1_taxid_1843749.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-2_taxid_1843750.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-3_taxid_1843751.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-4_taxid_1843752.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-5_taxid_1843753.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-6_taxid_1843754.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Camel-associated-drosmacovirus-1_taxid_2169876.gbk	1	1	1	0	0	0	0	0	0	0	0	0	0
Camel-associated-drosmacovirus-2_taxid_2169877.gbk	1	1	1	0	0	0	0	0	0	0	0	0	0
Camel-associated-porprismacovirus-1_taxid_2170105.gbk	1	1	1	0	0	0	0	0	0	0	0	0	0
Camel-associated-porprismacovirus-2_taxid_2170106.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Camel-associated-porprismacovirus-3_taxid_2170107.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Camel-associated-porprismacovirus-4_taxid_2170108.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Cattle-blood-associated-circovirus-like-virus_taxid_2077298.gbk	1	1	0	1	1	1	0	0	0	0	0	0	0
Chicken-associated-huchismacovirus-1_taxid_2169932.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Chicken-associated-huchismacovirus-2_taxid_2169933.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Chicken-associated-smacovirus_taxid_1932006.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Chimpanzee-associated-porprismacovirus-1_taxid_2170109.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Chimpanzee-associated-porprismacovirus-2_taxid_2170110.gbk	1	1	0	0	0	0	1	1	1	1	0	0	0
Fly-associated-circular-virus-4_taxid_2293284.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Gorilla-associated-porprismacovirus-1_taxid_2170111.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Howler-monkey-associated-porprismacovirus-1_taxid_2170112.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Human-associated-huchismacovirus-1_taxid_2169934.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Human-associated-huchismacovirus-2_taxid_2169935.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Human-associated-huchismacovirus-3_taxid_2169936.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Human-associated-porprismacovirus-2_taxid_2170114.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Human-feces-smacovirus-2_taxid_1820158.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Human-feces-smacovirus-3_taxid_1820159.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Human-smacovirus-1_taxid_1595998.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Lemur-associated-porprismacovirus-1_taxid_2170115.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Odonata-associated-circular-virus-21_taxid_1592122.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Odonata-associated-circular-virus-5_taxid_1592125.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Pig-stool-associated-circular-ssDNA-virus-GER2011_taxid_1114942.gbk	1	1	1	0	0	0	0	0	0	0	1	1	0
PoSCV-Kor-J481_taxid_1488557.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-10_taxid_2170117.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-3_taxid_2170119.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-4_taxid_2170120.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-5_taxid_2170121.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
