"","Glucosaminidase","Phage_B","Phage_F","Phage_G","gpD","Microvir_lysis","Microvir_H","Microvir_J","Phage_GPA","Phage_C"
"5_major_capsid_protein",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"20_major_capsid_protein",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"45_mannosyl-glycoprotei..",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121_putative_replication..",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"123_putative_minor_capsi..",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"125_putative_major_capsi..",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"131_B",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"133_C",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"135_E",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"136_J",NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"138_G",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"139_H",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
