source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Genomoviridae/cluster_3_homologues_19062021_0746_intersection	1_capsid_protein.faa	2_replication_associat...faa	3_capsid_protein.faa	7_RepA.faa	11_rep.faa
Blackbird-associated-gemykibivirus-1_taxid_1391038.gbk	ID:YP_009109720.1,	ID:YP_009109721.1,	-	-	-
Faeces-associated-gemycircularvirus-12_taxid_1391027.gbk	-	ID:YP_009109715.1,	ID:YP_009109714.1,	-	-
Faeces-associated-gemycircularvirus-21_taxid_1843741.gbk	ID:YP_009252355.1,	ID:YP_009252356.1,	-	ID:YP_009252357.1,	-
Giant-house-spider-associated-circular-virus-1_taxid_2293288.gbk	ID:YP_009551417.1,	-	-	ID:YP_009551418.1,	-
HCBI8215-virus_taxid_1516079.gbk	ID:YP_009051830.1,	-	-	ID:YP_009051832.1,	ID:YP_009051831.1,
HCBI9212-virus_taxid_1516080.gbk	ID:YP_009051833.1,	ID:YP_009051835.1,	-	-	ID:YP_009051834.1,
Mongoose-feces-associated-gemycircularvirus-a_taxid_1634485.gbk	ID:YP_009130623.1,	ID:YP_009130624.1,	-	-	-
Mongoose-feces-associated-gemycircularvirus-c_taxid_1634488.gbk	ID:YP_009130627.1,	-	-	ID:YP_009130628.1,	-
Rhinolophus-associated-gemykibivirus-1_taxid_2004965.gbk	-	ID:YP_009506637.1,	-	-	ID:YP_009506638.1,
Sclerotinia-sclerotiorum-hypovirulence-associated-DNA-virus-1_taxid_664785.gbk	ID:YP_003104795.1,	ID:YP_003104796.1,	-	-	-
Sewage-associated-gemycircularvirus-4_taxid_1519399.gbk	ID:YP_009115510.1,	ID:YP_009115508.1,ID:YP_009115509.1,	-	-	-
Sewage-associated-gemycircularvirus-6_taxid_1519401.gbk	ID:YP_009115513.1,	ID:YP_009115514.1,	-	-	-
