#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UniRef50_A0A1Q9EEX7    -          YP_009664532.1       -            5.3e-59  210.6 245.7   1.4e+02   13.7   2.4  29.2   1   1  31  32  32  32   0 Uncharacterized protein n=1 Tax=Symbiodinium microadriaticum TaxID=2951 RepID=A0A1Q9EEX7_SYMMI
UniRef50_A0A3P7S0R0    -          YP_009664532.1       -            8.6e-55  196.9  21.9   9.7e-55  196.7  21.9   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=6 Tax=Firmicutes TaxID=1239 RepID=A0A3P7S0R0_9FIRM
UniRef50_A0A1I5U724    -          YP_009664532.1       -            4.4e-54  194.6  18.8   5.2e-54  194.4  18.8   1.0   1   0   0   1   1   1   1 TraX protein n=1 Tax=Lachnospiraceae bacterium XBB1006 TaxID=1520827 RepID=A0A1I5U724_9FIRM
UniRef50_R9MLY2        -          YP_009664532.1       -            1.2e-53  193.1  16.3   1.4e-53  193.0  16.3   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=4 Tax=Lachnospiraceae TaxID=186803 RepID=R9MLY2_9FIRM
UniRef50_UPI0015AF172A -          YP_009664532.1       -            3.5e-53  191.7   7.8     4e-53  191.5   7.8   1.0   1   0   0   1   1   1   1 hypothetical protein n=3 Tax=Clostridia TaxID=186801 RepID=UPI0015AF172A
UniRef50_A0A7X5C6K6    -          YP_009664532.1       -            5.7e-53  191.0  19.1   6.6e-53  190.8  19.1   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A7X5C6K6_9FIRM
UniRef50_F3B9D6        -          YP_009664532.1       -            6.9e-53  190.7  23.0   7.9e-53  190.5  23.0   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=5 Tax=Eubacteriales TaxID=186802 RepID=F3B9D6_9FIRM
UniRef50_R5EDR1        -          YP_009664532.1       -              9e-53  190.3  26.7     1e-52  190.1  26.7   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Eubacteriales TaxID=186802 RepID=R5EDR1_9CLOT
UniRef50_A0A354Q3C6    -          YP_009664532.1       -            1.2e-52  189.9  24.2   1.5e-52  189.6  24.2   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Ruminococcus sp. TaxID=41978 RepID=A0A354Q3C6_9FIRM
UniRef50_B0NBD6        -          YP_009664532.1       -            1.4e-52  189.7  19.6   1.7e-52  189.5  19.6   1.0   1   0   0   1   1   1   1 Protein TraX n=22 Tax=Clostridia TaxID=186801 RepID=B0NBD6_CLOS5
UniRef50_A0A1T5BKL6    -          YP_009664532.1       -            4.5e-52  188.0  14.8   5.2e-52  187.9  14.8   1.0   1   0   0   1   1   1   1 TraX protein n=2 Tax=unclassified Lachnospiraceae TaxID=186928 RepID=A0A1T5BKL6_9FIRM
UniRef50_A0A0K9N919    -          YP_009664532.1       -            4.6e-52  188.0  19.7   5.4e-52  187.8  19.7   1.0   1   0   0   1   1   1   1 Fimbrial assembly protein FimC n=7 Tax=Eubacteriales TaxID=186802 RepID=A0A0K9N919_9FIRM
UniRef50_A0A3N1XPI8    -          YP_009664532.1       -            8.3e-52  187.2  22.2   9.5e-52  187.0  22.2   1.0   1   0   0   1   1   1   1 TraX protein n=5 Tax=Lachnospiraceae TaxID=186803 RepID=A0A3N1XPI8_9FIRM
