source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Microviridae/cluster_4_homologues_19062021_0758_intersection	1_A.faa	2_B.faa	3_K.faa	4_C.faa	5_D.faa	6_E.faa	7_J.faa	8_F.faa	9_G.faa	10_H.faa
Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-ID21_taxid_338101.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-ID32_taxid_338102.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-ID62_taxid_338107.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-NC28_taxid_338106.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-NC29_taxid_338110.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-NC35_taxid_338103.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-St-1_taxid_10845.gbk	2	1	1	1	1	1	1	1	1	1
Escherichia-phage-WA45_taxid_338105.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-alpha3_taxid_10849.gbk	1	1	1	1	1	1	1	1	1	1
Escherichia-phage-phiK_taxid_2507234.gbk	1	1	1	1	1	1	1	1	1	1
