cluster	prevalence	term	what	familia	algoritmo
101_hypothetical_protein	10	cellular response to gamma radiation [GO:0071480]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	response to toxic substance [GO:0009636]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	positive regulation of DNA ligation [GO:0051106]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	SOS response [GO:0009432]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	response to X-ray [GO:0010165]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	meiosis I [GO:0007127]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	mitotic recombination-dependent replication fork processing [GO:1990426]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	DNA replication [GO:0006260]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	DNA duplex unwinding [GO:0032508]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	cellular response to camptothecin [GO:0072757]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	cellular response to cisplatin [GO:0072719]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	cellular response to hydroxyurea [GO:0072711]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	strand invasion [GO:0042148]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	reciprocal meiotic recombination [GO:0007131]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	response to glucoside [GO:1904631]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	double-strand break repair via synthesis-dependent strand annealing [GO:0045003]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	DNA recombinase assembly [GO:0000730]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	strand displacement [GO:0000732]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	replication-born double-strand break repair via sister chromatid exchange [GO:1990414]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	regulation of protein phosphorylation [GO:0001932]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	translation [GO:0006412]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	DNA biosynthetic process [GO:0071897]	bp	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	cytoskeleton [GO:0005856]	cc	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
101_hypothetical_protein	10	Holliday junction helicase complex [GO:0009379]	cc	../results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818/	COG
