"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","19_replication_initiati..",38,37,"","19_replication_initiati...faa","19_replication_initiati...fna","2219133_2219134_2219135_2219136_2219137_145579_1676181_1676182_1676183_105154_313629_90963_1986029_2003327_2003327_2720215_1655646_1655649_1655650_1655656_1655659_2219141_1385658_1655647_1655648_1655651_1655652_1655653_1655654_1655657_1655658_1655660_1655661_1655662_913970_1655644_1655645_10855",86.046511627907
"2","2_nonstructural_protei..",14,14,"","2_nonstructural_protei...faa","2_nonstructural_protei...fna","2219133_2219135_2219137_145579_105154_313629_90963_1655646_1655649_1655650_1655656_1655659_2219141_1385658",32.5581395348837
"3","3_minor_capsid_protein",4,4,"","3_minor_capsid_protein.faa","3_minor_capsid_protein.fna","2219133_2219135_2219137_1676182",9.30232558139535
"4","4_hypothetical_protein",1,1,"","4_hypothetical_protein.faa","4_hypothetical_protein.fna","2219133",2.32558139534884
"5","5_major_capsid_protein",34,34,"PF02305_","5_major_capsid_protein.faa","5_major_capsid_protein.fna","2219133_2219134_2219135_145579_1676181_1676182_1676183_105154_313629_90963_1986029_2003327_2720215_1655649_1655650_1655656_1655659_2219141_1385658_1655647_1655648_1655651_1655652_1655653_1655654_1655657_1655658_1655660_1655661_1655662_913970_1655644_1655645_10855",79.0697674418605
"6","6_minor_capsid_protein",1,1,"","6_minor_capsid_protein.faa","6_minor_capsid_protein.fna","2219133",2.32558139534884
"7","8_nonstructural_protei..",1,1,"","8_nonstructural_protei...faa","8_nonstructural_protei...fna","2219134",2.32558139534884
"8","9_minor_capsid_protein",16,16,"PF09675_","9_minor_capsid_protein.faa","9_minor_capsid_protein.fna","2219134_145579_1676181_1676183_105154_313629_90963_1986029_2003327_2720215_1655646_1655649_1655650_1655656_1655659_1385658",37.2093023255814
"9","10_hypothetical_protein",1,1,"","10_hypothetical_protein.faa","10_hypothetical_protein.fna","2219134",2.32558139534884
"10","12_hypothetical_protein",1,1,"","12_hypothetical_protein.faa","12_hypothetical_protein.fna","2219134",2.32558139534884
"11","14_hypothetical_protein",2,2,"","14_hypothetical_protein.faa","14_hypothetical_protein.fna","2219135_1385658",4.65116279069767
"12","18_minor_capsid_protein",1,1,"","18_minor_capsid_protein.faa","18_minor_capsid_protein.fna","2219135",2.32558139534884
"13","20_major_capsid_protein",2,2,"PF02305_PF02305_","20_major_capsid_protein.faa","20_major_capsid_protein.fna","2219136_1655646",4.65116279069767
"14","21_hypothetical_protein",1,1,"","21_hypothetical_protein.faa","21_hypothetical_protein.fna","2219136",2.32558139534884
"15","22_minor_capsid_protein",1,1,"","22_minor_capsid_protein.faa","22_minor_capsid_protein.fna","2219136",2.32558139534884
"16","26_minor_capsid_protein",1,1,"","26_minor_capsid_protein.faa","26_minor_capsid_protein.fna","2219137",2.32558139534884
"17","29_hypothetical_protein",1,1,"","29_hypothetical_protein.faa","29_hypothetical_protein.fna","145579",2.32558139534884
"18","30_hypothetical_protein",1,1,"","30_hypothetical_protein.faa","30_hypothetical_protein.fna","145579",2.32558139534884
"19","31_hypothetical_protein",1,1,"","31_hypothetical_protein.faa","31_hypothetical_protein.fna","145579",2.32558139534884
"20","32_minor_capsid_protein",9,9,"","32_minor_capsid_protein.faa","32_minor_capsid_protein.fna","145579_105154_313629_90963_1986029_1655646_1655650_1655656_1655659",20.9302325581395
"21","33_hypothetical_protein",1,1,"","33_hypothetical_protein.faa","33_hypothetical_protein.fna","145579",2.32558139534884
"22","36_putative_DNA_binding..",1,1,"","36_putative_DNA_binding...faa","36_putative_DNA_binding...fna","145579",2.32558139534884
"23","37_hypothetical_protein",1,1,"","37_hypothetical_protein.faa","37_hypothetical_protein.fna","145579",2.32558139534884
"24","38_minor_CP_2",2,2,"","38_minor_CP_2.faa","38_minor_CP_2.fna","1676181_1676183",4.65116279069767
"25","45_minor_CP_2",3,3,"","45_minor_CP_2.faa","45_minor_CP_2.fna","1676182_2219141_913970",6.97674418604651
"26","46_hypothetical_protein",1,1,"","46_hypothetical_protein.faa","46_hypothetical_protein.fna","1676182",2.32558139534884
"27","52_nonstructural_protei..",2,2,"","52_nonstructural_protei...faa","52_nonstructural_protei...fna","105154_313629",4.65116279069767
"28","53_nonstructural_protei..",3,3,"","53_nonstructural_protei...faa","53_nonstructural_protei...fna","105154_313629_90963",6.97674418604651
"29","56_nonstructural_protei..",1,1,"","56_nonstructural_protei...faa","56_nonstructural_protei...fna","105154",2.32558139534884
"30","64_ORF8",1,1,"","64_ORF8.faa","64_ORF8.fna","313629",2.32558139534884
"31","72_hypothetical_protein",2,2,"","72_hypothetical_protein.faa","72_hypothetical_protein.fna","90963_1986029",4.65116279069767
"32","73_hypothetical_protein",2,2,"","73_hypothetical_protein.faa","73_hypothetical_protein.fna","90963_1986029",4.65116279069767
"33","74_nonstructural_protei..",1,1,"","74_nonstructural_protei...faa","74_nonstructural_protei...fna","90963",2.32558139534884
"34","83_hypothetical_protein",1,1,"","83_hypothetical_protein.faa","83_hypothetical_protein.fna","2003327",2.32558139534884
"35","84_minor_capsid_protein",3,1,"","84_minor_capsid_protein.faa","84_minor_capsid_protein.fna","2003327_2003327_2003327",2.32558139534884
"36","87_hypothetical_protein",1,1,"","87_hypothetical_protein.faa","87_hypothetical_protein.fna","2003327",2.32558139534884
"37","89_nonstructural_protei..",1,1,"","89_nonstructural_protei...faa","89_nonstructural_protei...fna","2003327",2.32558139534884
"38","92_nonstructural_protei..",2,1,"","92_nonstructural_protei...faa","92_nonstructural_protei...fna","2003327_2003327",2.32558139534884
"39","94_A",10,5,"PF05840_","94_A.faa","94_A.fna","489829_489829_10843_10843_511969_511969_338108_338108_10847_10847",11.6279069767442
"40","96_B",5,5,"PF02304_","96_B.faa","96_B.fna","489829_10843_511969_338108_10847",11.6279069767442
"41","97_K",5,5,"PF12283_","97_K.faa","97_K.fna","489829_10843_511969_338108_10847",11.6279069767442
"42","98_C",5,5,"PF12025_","98_C.faa","98_C.fna","489829_10843_511969_338108_10847",11.6279069767442
"43","99_D",5,5,"PF02925_","99_D.faa","99_D.fna","489829_10843_511969_338108_10847",11.6279069767442
"44","100_E",5,5,"PF04517_","100_E.faa","100_E.fna","489829_10843_511969_338108_10847",11.6279069767442
"45","101_J",5,5,"PF04726_","101_J.faa","101_J.fna","489829_10843_511969_338108_10847",11.6279069767442
"46","102_F",5,5,"PF02305_PF02305_","102_F.faa","102_F.fna","489829_10843_511969_338108_10847",11.6279069767442
"47","103_G",5,5,"PF02306_","103_G.faa","103_G.fna","489829_10843_511969_338108_10847",11.6279069767442
"48","104_H",5,5,"PF04687_","104_H.faa","104_H.fna","489829_10843_511969_338108_10847",11.6279069767442
"49","106_vp5",1,1,"","106_vp5.faa","106_vp5.fna","2720215",2.32558139534884
"50","109_vp2",1,1,"","109_vp2.faa","109_vp2.fna","2720215",2.32558139534884
"51","110_vp8",1,1,"","110_vp8.faa","110_vp8.fna","2720215",2.32558139534884
"52","161_DNA_pilot_protein_VP..",1,1,"","161_DNA_pilot_protein_VP...faa","161_DNA_pilot_protein_VP...fna","1655649",2.32558139534884
"53","163_hypothetical_protein",2,2,"","163_hypothetical_protein.faa","163_hypothetical_protein.fna","1655649_1655659",4.65116279069767
"54","169_hypothetical_protein",1,1,"","169_hypothetical_protein.faa","169_hypothetical_protein.fna","1655650",2.32558139534884
"55","175_hypothetical_protein",1,1,"","175_hypothetical_protein.faa","175_hypothetical_protein.fna","1655656",2.32558139534884
"56","178_hypothetical_protein",1,1,"","178_hypothetical_protein.faa","178_hypothetical_protein.fna","1655656",2.32558139534884
"57","190_minor_capsid_protein",1,1,"","190_minor_capsid_protein.faa","190_minor_capsid_protein.fna","1385658",2.32558139534884
"58","196_hypothetical_protein",3,3,"","196_hypothetical_protein.faa","196_hypothetical_protein.fna","1655647_1655654_1655661",6.97674418604651
"59","197_hypothetical_protein",1,1,"","197_hypothetical_protein.faa","197_hypothetical_protein.fna","1655647",2.32558139534884
"60","198_DNA_pilot_protein_VP..",10,10,"","198_DNA_pilot_protein_VP...faa","198_DNA_pilot_protein_VP...fna","1655647_1655648_1655651_1655652_1655653_1655654_1655657_1655658_1655660_1655661",23.2558139534884
"61","200_hypothetical_protein",1,1,"","200_hypothetical_protein.faa","200_hypothetical_protein.fna","1655647",2.32558139534884
"62","203_hypothetical_protein",5,5,"","203_hypothetical_protein.faa","203_hypothetical_protein.fna","1655648_1655651_1655652_1655653_1655658",11.6279069767442
"63","204_hypothetical_protein",5,5,"","204_hypothetical_protein.faa","204_hypothetical_protein.fna","1655648_1655653_1655657_1655658_1655660",11.6279069767442
"64","213_hypothetical_protein",1,1,"","213_hypothetical_protein.faa","213_hypothetical_protein.fna","1655652",2.32558139534884
"65","223_hypothetical_protein",1,1,"","223_hypothetical_protein.faa","223_hypothetical_protein.fna","1655654",2.32558139534884
"66","225_hypothetical_protein",1,1,"","225_hypothetical_protein.faa","225_hypothetical_protein.fna","1655654",2.32558139534884
"67","228_hypothetical_protein",1,1,"","228_hypothetical_protein.faa","228_hypothetical_protein.fna","1655657",2.32558139534884
"68","238_hypothetical_protein",1,1,"","238_hypothetical_protein.faa","238_hypothetical_protein.fna","1655660",2.32558139534884
"69","245_hypothetical_protein",1,1,"","245_hypothetical_protein.faa","245_hypothetical_protein.fna","1655661",2.32558139534884
"70","247_hypothetical_protein",1,1,"","247_hypothetical_protein.faa","247_hypothetical_protein.fna","1655662",2.32558139534884
"71","248_hypothetical_protein",1,1,"","248_hypothetical_protein.faa","248_hypothetical_protein.fna","1655662",2.32558139534884
"72","249_DNA_pilot_protein_VP..",1,1,"","249_DNA_pilot_protein_VP...faa","249_DNA_pilot_protein_VP...fna","1655662",2.32558139534884
"73","251_M16p1",1,1,"","251_M16p1.faa","251_M16p1.fna","1544364",2.32558139534884
"74","252_replication_initiato..",1,1,"","252_replication_initiato...faa","252_replication_initiato...fna","1544364",2.32558139534884
"75","253_M16p3",1,1,"","253_M16p3.faa","253_M16p3.fna","1544364",2.32558139534884
"76","254_M16p4",1,1,"","254_M16p4.faa","254_M16p4.fna","1544364",2.32558139534884
"77","255_M16p5",1,1,"","255_M16p5.faa","255_M16p5.fna","1544364",2.32558139534884
"78","256_M16p6",1,1,"","256_M16p6.faa","256_M16p6.fna","1544364",2.32558139534884
"79","257_major_capsid_protein",1,1,"","257_major_capsid_protein.faa","257_major_capsid_protein.fna","1544364",2.32558139534884
"80","258_p10",1,1,"","258_p10.faa","258_p10.fna","913970",2.32558139534884
"81","262_p4",1,1,"","262_p4.faa","262_p4.fna","913970",2.32558139534884
"82","263_p5",1,1,"","263_p5.faa","263_p5.fna","913970",2.32558139534884
"83","264_p6",1,1,"","264_p6.faa","264_p6.fna","913970",2.32558139534884
