"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_NS1",3,3,"PF01057_PF01057_","1_NS1.faa","1_NS1.fna","1513196_487311_945962",23.0769230769231
"2","2_NS2",4,4,"","2_NS2.faa","2_NS2.fna","1513196_1513199_487311_945962",30.7692307692308
"3","3_VP",4,4,"","3_VP.faa","3_VP.fna","1513196_1513199_487311_945962",30.7692307692308
"4","4_NS1",1,1,"PF01057_PF00519_","4_NS1.faa","4_NS1.fna","1513199",7.69230769230769
"5","10_NS1",1,1,"PF12433_PF01057_","10_NS1.faa","10_NS1.fna","1867125",7.69230769230769
"6","11_putative_VP1",1,1,"PF08398_PF00740_","11_putative_VP1.faa","11_putative_VP1.fna","1867125",7.69230769230769
"7","12_hypothetical_protein",1,1,"","12_hypothetical_protein.faa","12_hypothetical_protein.fna","1867125",7.69230769230769
"8","13_VP2",5,3,"PF00740_","13_VP2.faa","13_VP2.fna","1867125_1093101_1093101_1961072_1961072",23.0769230769231
"9","14_hypothetical_protein",1,1,"","14_hypothetical_protein.faa","14_hypothetical_protein.fna","1867125",7.69230769230769
"10","15_hypothetical_protein",2,2,"","15_hypothetical_protein.faa","15_hypothetical_protein.fna","1513224_1513225",15.3846153846154
"11","16_non-structural_prote..",2,2,"PF01057_","16_non-structural_prote...faa","16_non-structural_prote...fna","1513224_1513225",15.3846153846154
"12","17_37_kDa_coat_protein",2,2,"PF16530_","17_37_kDa_coat_protein.faa","17_37_kDa_coat_protein.fna","1513224_1513225",15.3846153846154
"13","18_nonstructural_protei..",2,2,"PF01057_","18_nonstructural_protei...faa","18_nonstructural_protei...fna","1926498_1820046",15.3846153846154
"14","19_capsid_protein_1",2,2,"","19_capsid_protein_1.faa","19_capsid_protein_1.fna","1926498_1820046",15.3846153846154
"15","20_NS1",2,2,"PF12475_PF12475_PF12433_PF01057_","20_NS1.faa","20_NS1.fna","1093101_1961072",15.3846153846154
"16","21_NS2",2,2,"PF12475_","21_NS2.faa","21_NS2.fna","1093101_1961072",15.3846153846154
"17","22_NS3",2,2,"PF12475_","22_NS3.faa","22_NS3.fna","1093101_1961072",15.3846153846154
"18","28_putative_15-kDa_prot..",1,1,"","28_putative_15-kDa_prot...faa","28_putative_15-kDa_prot...fna","1341019",7.69230769230769
"19","29_rep",1,1,"","29_rep.faa","29_rep.fna","1341019",7.69230769230769
"20","30_cap",1,1,"PF08398_","30_cap.faa","30_cap.fna","1341019",7.69230769230769
"21","36_non-structural_prote..",1,1,"PF08724_PF12433_PF01057_","36_non-structural_prote...faa","36_non-structural_prote...fna","1755694",7.69230769230769
"22","37_putative_middle_prot..",1,1,"","37_putative_middle_prot...faa","37_putative_middle_prot...fna","1755694",7.69230769230769
