"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_II",3,3,"PF05144_PF05155_","1_II.faa","1_II.fna","10864_1977402_10867",30
"2","2_X",3,3,"PF05155_","2_X.faa","2_X.fna","10864_1977402_10867",30
"3","3_V",3,3,"PF02303_","3_V.faa","3_V.fna","10864_1977402_10867",30
"4","4_VII",2,2,"PF19978_","4_VII.faa","4_VII.fna","10864_1977402",20
"5","5_IX",2,2,"","5_IX.faa","5_IX.fna","10864_1977402",20
"6","6_VIII",4,4,"PF19199_","6_VIII.faa","6_VIII.fna","10864_10869_1977402_10867",40
"7","7_III",2,2,"PF05357_PF05357_","7_III.faa","7_III.fna","10864_1977402",20
"8","8_VI",3,3,"PF17537_","8_VI.faa","8_VI.fna","10864_1977402_10867",30
"9","9_I",4,4,"PF05707_","9_I.faa","9_I.fna","10864_10869_1977402_10867",40
"10","10_IV",2,2,"PF00263_","10_IV.faa","10_IV.fna","10864_1977402",20
"11","12_IV",2,2,"PF03958_PF00263_","12_IV.faa","12_IV.fna","10869_10867",20
"12","13_replication_initiati..",1,1,"PF05144_PF05155_","13_replication_initiati...faa","13_replication_initiati...fna","10869",10
"13","14_X",1,1,"PF05155_","14_X.faa","14_X.fna","10869",10
"14","15_gene_V_product",1,1,"PF17426_","15_gene_V_product.faa","15_gene_V_product.fna","10869",10
"15","16_VII",2,2,"PF19978_","16_VII.faa","16_VII.fna","10869_10867",20
"16","17_IX",2,2,"","17_IX.faa","17_IX.fna","10869_10867",20
"17","19_III",2,2,"PF05357_","19_III.faa","19_III.fna","10869_10867",20
"18","88_DNA_replication_init..",6,6,"PF02486_","88_DNA_replication_init...faa","88_DNA_replication_init...fna","292443_1105327_642111_181604_127508_70203",60
"19","89_hypothetical_protein",5,5,"PF06950_","89_hypothetical_protein.faa","89_hypothetical_protein.fna","292443_642111_181604_127508_70203",50
"20","42_hypothetical_protein",1,1,"","42_hypothetical_protein.faa","42_hypothetical_protein.fna","292443",10
"21","91_Vpf81",3,3,"","91_Vpf81.faa","91_Vpf81.fna","292443_1105327_127508",30
"22","44_hypothetical_protein",1,1,"","44_hypothetical_protein.faa","44_hypothetical_protein.fna","292443",10
"23","45_hypothetical_protein",1,1,"","45_hypothetical_protein.faa","45_hypothetical_protein.fna","292443",10
"24","46_hypothetical_protein",1,1,"","46_hypothetical_protein.faa","46_hypothetical_protein.fna","292443",10
"25","93_hypothetical_protein",3,3,"PF10734_","93_hypothetical_protein.faa","93_hypothetical_protein.fna","292443_1105327_127508",30
"26","94_putative_assembly_pr..",3,3,"PF05707_","94_putative_assembly_pr...faa","94_putative_assembly_pr...fna","292443_1105327_127508",30
"27","49_hypothetical_protein",2,2,"","49_hypothetical_protein.faa","49_hypothetical_protein.fna","292443_1105327",20
"28","50_hypothetical_protein",1,1,"","50_hypothetical_protein.faa","50_hypothetical_protein.fna","292443",10
"29","51_hypothetical_protein",1,1,"","51_hypothetical_protein.faa","51_hypothetical_protein.fna","292443",10
"30","52_hypothetical_protein",1,1,"","52_hypothetical_protein.faa","52_hypothetical_protein.fna","1105327",10
"31","54_ssDNA-binding_protei..",1,1,"PF07459_","54_ssDNA-binding_protei...faa","54_ssDNA-binding_protei...fna","1105327",10
"32","55_hypothetical_protein",1,1,"","55_hypothetical_protein.faa","55_hypothetical_protein.fna","1105327",10
"33","57_minor_capsid_protein",1,1,"","57_minor_capsid_protein.faa","57_minor_capsid_protein.fna","1105327",10
"34","61_hypothetical_protein",3,3,"","61_hypothetical_protein.faa","61_hypothetical_protein.fna","1105327_642111_181604",30
