Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Bacillariodnavirus-LDMD-2013_taxid_1379694.gbk,Chaetoceros-protobacilladnavirus-1_taxid_2170140.gbk,Chaetoceros-protobacilladnavirus-3_taxid_2170142.gbk,Chaetoceros-protobacilladnavirus-4_taxid_2170143.gbk,Chaetoceros-sp-DNA-virus-7_taxid_1382995.gbk
1_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0
2_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0
4_replication-associat...faa,,,,,,,,,,,,,,1,1,0,0,0
5_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0
7_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0
8_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0
11_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1
12_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1
13_putative_replication-associated_protein.faa,,,,,,,,,,,,,,0,0,1,1,1
14_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,0
