cluster	prevalence	term	what	familia	algoritmo
1_AV2	80.97165991902834	modulation by virus of host process [GO:0019048]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1_AV2	80.97165991902834	negative regulation of gene silencing by RNA [GO:0060967]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1_AV2	80.97165991902834	host cell perinuclear region of cytoplasm [GO:0044220]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1_AV2	80.97165991902834	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1_AV2	80.97165991902834	viral capsid [GO:0019028]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	transport of virus in host, cell to cell [GO:0046740]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	DNA transport [GO:0051027]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	host cell plasma membrane [GO:0020002]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	host cell [GO:0043657]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
1114_V1	0.4048582995951417	single-stranded DNA binding [GO:0003697]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	DNA replication [GO:0006260]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	viral capsid [GO:0019028]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	nucleotidyltransferase activity [GO:0016779]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	DNA binding [GO:0003677]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	helicase activity [GO:0004386]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
172_AC1	0.4048582995951417	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
2_AV1	98.38056680161942	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
2_AV1	98.38056680161942	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
2_AV1	98.38056680161942	transport of virus in host, cell to cell [GO:0046740]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
2_AV1	98.38056680161942	DNA transport [GO:0051027]	bp	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
2_AV1	98.38056680161942	host cell plasma membrane [GO:0020002]	cc	../results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435/	OMCL
