source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Genomoviridae/cluster_3_homologues_19062021_0746_intersection	1_capsid_protein.faa	2_replication_associat...faa	3_capsid_protein.faa	7_RepA.faa	11_rep.faa
Blackbird-associated-gemykibivirus-1_taxid_1391038.gbk	1	1	0	0	0
Faeces-associated-gemycircularvirus-12_taxid_1391027.gbk	0	1	1	0	0
Faeces-associated-gemycircularvirus-21_taxid_1843741.gbk	1	1	0	1	0
Giant-house-spider-associated-circular-virus-1_taxid_2293288.gbk	1	0	0	1	0
HCBI8215-virus_taxid_1516079.gbk	1	0	0	1	1
HCBI9212-virus_taxid_1516080.gbk	1	1	0	0	1
Mongoose-feces-associated-gemycircularvirus-a_taxid_1634485.gbk	1	1	0	0	0
Mongoose-feces-associated-gemycircularvirus-c_taxid_1634488.gbk	1	0	0	1	0
Rhinolophus-associated-gemykibivirus-1_taxid_2004965.gbk	0	1	0	0	1
Sclerotinia-sclerotiorum-hypovirulence-associated-DNA-virus-1_taxid_664785.gbk	1	1	0	0	0
Sewage-associated-gemycircularvirus-4_taxid_1519399.gbk	1	2	0	0	0
Sewage-associated-gemycircularvirus-6_taxid_1519401.gbk	1	1	0	0	0
