cluster1_hypothetical_protein	size1	taxa1		file1_hypothetical_protein.faa	dnafile1_hypothetical_protein.fna	1379694
cluster2_hypothetical_protein	size1	taxa1		file2_hypothetical_protein.faa	dnafile2_hypothetical_protein.fna	1379694
cluster12_hypothetical_protein	size5	taxa5		file12_hypothetical_protein.faa	dnafile12_hypothetical_protein.fna	1379694_2170140_2170142_2170143_1382995
cluster4_replication-associat..	size2	taxa2	PfamPF00910,	file4_replication-associat...faa	dnafile4_replication-associat...fna	1379694_2170140
cluster5_hypothetical_protein	size1	taxa1		file5_hypothetical_protein.faa	dnafile5_hypothetical_protein.fna	2170140
cluster7_hypothetical_protein	size1	taxa1		file7_hypothetical_protein.faa	dnafile7_hypothetical_protein.fna	2170140
cluster8_hypothetical_protein	size1	taxa1		file8_hypothetical_protein.faa	dnafile8_hypothetical_protein.fna	2170140
cluster11_hypothetical_protein	size3	taxa3		file11_hypothetical_protein.faa	dnafile11_hypothetical_protein.fna	2170140_2170142_1382995
cluster13_putative_replication-associated_protein	size3	taxa3		file13_putative_replication-associated_protein.faa	dnafile13_putative_replication-associated_protein.fna	2170142_2170143_1382995
cluster14_hypothetical_protein	size1	taxa1		file14_hypothetical_protein.faa	dnafile14_hypothetical_protein.fna	2170143
