Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Simian-torque-teno-virus-30_taxid_1619218.gbk,Simian-torque-teno-virus-31_taxid_1619219.gbk,Simian-torque-teno-virus-32_taxid_1619220.gbk,Simian-torque-teno-virus-33_taxid_1629656.gbk,Simian-torque-teno-virus-34_taxid_1629657.gbk,Torque-teno-douroucouli-virus_taxid_687383.gbk,Torque-teno-virus-10_taxid_687349.gbk,Torque-teno-virus-12_taxid_687351.gbk,Torque-teno-virus-14_taxid_687353.gbk,Torque-teno-virus-15_taxid_687354.gbk,Torque-teno-virus-16_taxid_687355.gbk,Torque-teno-virus-19_taxid_687358.gbk,Torque-teno-virus-1_taxid_687340.gbk,Torque-teno-virus-25_taxid_687364.gbk,Torque-teno-virus-26_taxid_687365.gbk,Torque-teno-virus-27_taxid_687366.gbk,Torque-teno-virus-28_taxid_687367.gbk,Torque-teno-virus-29_taxid_687368.gbk,Torque-teno-virus-3_taxid_687342.gbk,Torque-teno-virus-4_taxid_687343.gbk,Torque-teno-virus-6_taxid_687345.gbk,Torque-teno-virus-7_taxid_687346.gbk,Torque-teno-virus-8_taxid_687347.gbk
1_ORF2.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_ORF1.faa,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3_ORF3.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_ORF3.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_ORF4.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_ORF3.faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11_ORF4.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_ORF3.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16_ORF2.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_ORF3.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_ORF4.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39_orf2-5.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62_ORF1-2.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64_ORF1-1.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73_ORF3.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
