QueryID,SubjectID,Perc.Ident,Alignment.Length,Mismatches,Gap.Openings,Q.start,Q.end,S.start,S.end,E,Bits
ID:YP_009553240.1,ID:YP_009553240.1,100,102,0,0,1,102,1,102,7.5e-78,210
ID:YP_003587832.1,ID:YP_003587832.1,100,243,0,0,1,243,1,243,0,496
ID:YP_003587833.1,ID:YP_003587833.1,100,101,0,0,1,101,1,101,7.42e-76,205
ID:YP_003587888.1,ID:YP_003587888.1,100,151,0,0,1,151,1,151,1.93e-103,280
ID:YP_009552812.1,ID:YP_009552812.1,100,635,0,0,1,635,1,635,0,1315
ID:YP_009552813.1,ID:YP_009552813.1,100,69,0,0,1,69,1,69,1.83e-49,135
ID:YP_009552814.1,ID:YP_009552814.1,100,138,0,0,1,138,1,138,1.76e-104,281
ID:YP_009552815.1,ID:YP_009552815.1,100,77,0,0,1,77,1,77,1.37e-55,152
ID:YP_009505747.1,ID:YP_009505747.1,100,104,0,0,1,104,1,104,8.15e-80,216
ID:YP_009505749.1,ID:YP_009505749.1,100,183,0,0,1,183,1,183,9.87e-137,366
ID:YP_003587835.1,ID:YP_003587835.1,100,231,0,0,1,231,1,231,3.84e-178,475
ID:YP_003587836.1,ID:YP_003587836.1,100,105,0,0,1,105,1,105,2.58e-81,219
ID:YP_009380543.1,ID:YP_009380543.1,100,90,0,0,1,90,1,90,8.24e-66,179
ID:YP_009380545.1,ID:YP_009380545.1,100,95,0,0,1,95,1,95,1.06e-71,194
ID:YP_009505775.1,ID:YP_009505775.1,100,256,0,0,1,256,1,256,0,536
ID:YP_009505775.1,ID:YP_009505763.1,46.275,255,132,5,4,255,9,261,2.02e-71,211
ID:YP_009505775.1,ID:YP_009505755.1,50,256,114,6,4,255,12,257,3.27e-71,210
ID:YP_009505775.1,ID:YP_009505779.1,46.743,261,123,7,4,255,9,262,4.03e-62,187
ID:YP_009505775.1,ID:YP_009505767.1,51.575,254,113,6,4,256,9,253,5.68e-62,186
ID:YP_009505775.1,ID:YP_009505771.1,45.42,262,129,5,4,256,7,263,1.07e-61,186
ID:YP_009505775.1,ID:YP_001109581.1,46.718,259,124,8,4,255,9,260,1.29e-60,183
ID:YP_009505775.1,ID:YP_009505791.1,47.692,260,123,6,4,255,9,263,4.69e-60,182
ID:YP_009505775.1,ID:YP_009505783.1,45.149,268,124,6,1,255,1,258,7.27e-60,181
ID:YP_009505775.1,ID:YP_003587902.1,40.856,257,127,6,4,255,9,245,2.34e-55,169
ID:YP_009505775.1,ID:YP_009505759.1,42.857,259,138,6,4,255,9,264,5.42e-53,164
ID:YP_009505775.1,ID:YP_009505787.1,43.893,262,131,7,4,255,9,264,4.19e-51,159
ID:YP_009505775.1,ID:YP_009505795.1,27.402,281,139,9,17,255,22,279,9.04e-21,79.3
ID:YP_009505775.1,ID:YP_003587838.1,26.786,280,148,11,10,254,8,265,5.79e-10,48.1
ID:YP_009505775.1,ID:YP_003587842.1,46.667,45,22,1,213,255,248,292,1.07e-7,41.6
ID:YP_009505775.1,ID:YP_009505718.1,30,180,72,8,101,255,111,261,1.2e-7,41.2
ID:YP_009505775.1,ID:YP_003587875.1,46.667,45,21,1,214,255,234,278,1.26e-7,41.2
ID:YP_009505775.1,ID:YP_003587875.1,33.333,30,20,0,11,40,10,39,0.023,25
ID:YP_009505775.1,ID:YP_003587906.1,56.667,30,13,0,214,243,231,260,6.13e-7,39.3
ID:YP_009505775.1,ID:YP_003587906.1,25.806,31,23,0,10,40,8,38,0.081,23.5
ID:YP_009505775.1,ID:YP_003587850.1,56.25,32,14,0,224,255,249,280,7.27e-6,35.8
ID:YP_009505775.1,ID:YP_003587850.1,21.622,37,29,0,4,40,3,39,0.15,22.7
ID:YP_009505775.1,ID:YP_003587846.1,58.621,29,12,0,227,255,238,266,7.43e-6,35.8
ID:YP_009505775.1,ID:YP_003587846.1,29.032,31,22,0,10,40,9,39,0.01,26.2
ID:YP_009505775.1,ID:YP_009505726.1,36.508,63,34,1,199,255,212,274,1.26e-5,35
ID:YP_009505775.1,ID:YP_003587864.1,25.769,260,159,10,11,243,8,260,1.24e-4,32
ID:YP_009505779.1,ID:YP_009505779.1,100,263,0,0,1,263,1,263,0,547
ID:YP_009505779.1,ID:YP_001109581.1,51.128,266,120,5,1,262,1,260,3.77e-80,233
ID:YP_009505779.1,ID:YP_009505763.1,47.584,269,128,6,1,263,1,262,1.65e-78,229
ID:YP_009505779.1,ID:YP_003587902.1,48.327,269,110,6,1,263,1,246,7.58e-75,219
ID:YP_009505779.1,ID:YP_009505759.1,48.315,267,132,3,1,263,1,265,1.32e-72,214
ID:YP_009505779.1,ID:YP_009505791.1,50.365,274,115,7,1,263,1,264,4.44e-69,205
ID:YP_009505779.1,ID:YP_009505767.1,48.669,263,123,7,1,262,1,252,8.08e-66,196
ID:YP_009505779.1,ID:YP_009505787.1,44.776,268,140,5,1,263,1,265,1.08e-62,189
ID:YP_009505779.1,ID:YP_009505755.1,47.059,272,116,8,2,263,5,258,1.28e-61,186
ID:YP_009505779.1,ID:YP_009505783.1,48.302,265,116,9,9,262,4,258,5.16e-61,184
ID:YP_009505779.1,ID:YP_009505775.1,48.249,257,125,6,9,262,4,255,6.12e-61,184
ID:YP_009505779.1,ID:YP_009505771.1,45.865,266,124,6,8,262,6,262,9.14e-60,181
ID:YP_009505779.1,ID:YP_009505795.1,28.966,290,167,9,1,262,1,279,9.97e-20,76.6
ID:YP_009505779.1,ID:YP_003587838.1,23.944,284,163,10,10,261,3,265,3.91e-12,54.7
ID:YP_009505779.1,ID:YP_003587875.1,42.222,45,24,1,220,262,234,278,2.21e-6,37.7
ID:YP_009505779.1,ID:YP_003587842.1,39.13,46,27,1,219,263,248,293,3.45e-6,37
ID:YP_009505779.1,ID:YP_009505718.1,39.535,43,24,1,220,262,221,261,1.1e-5,35.4
ID:YP_009505779.1,ID:YP_003587850.1,26.63,184,99,7,102,262,110,280,1.75e-5,34.7
ID:YP_009505779.1,ID:YP_003587850.1,20.513,39,31,0,9,47,3,41,0.044,24.3
ID:YP_009505779.1,ID:YP_003587846.1,25.904,166,109,5,102,262,110,266,0.001,28.9
ID:YP_009505779.1,ID:YP_003587846.1,25.641,39,29,0,9,47,3,41,0.003,28.1
ID:YP_009505779.1,ID:YP_003587906.1,25,36,27,0,10,45,3,38,0.002,28.5
ID:YP_009505779.1,ID:YP_003587864.1,34.043,47,28,2,218,263,228,272,0.004,27.3
ID:YP_009505779.1,ID:YP_003587864.1,24.324,37,28,0,9,45,1,37,0.035,24.6
ID:YP_009505779.1,ID:YP_009505726.1,25,44,31,1,9,50,3,46,0.27,21.9
ID:YP_009505783.1,ID:YP_009505783.1,100,259,0,0,1,259,1,259,0,538
ID:YP_009505783.1,ID:YP_001109581.1,47.94,267,114,9,4,259,9,261,3.02e-67,200
ID:YP_009505783.1,ID:YP_009505763.1,44.318,264,127,7,4,258,9,261,1.03e-64,194
ID:YP_009505783.1,ID:YP_009505767.1,47.126,261,115,6,4,258,9,252,4.9e-64,192
ID:YP_009505783.1,ID:YP_009505779.1,46.591,264,122,7,4,258,9,262,5.73e-64,192
ID:YP_009505783.1,ID:YP_003587902.1,46.332,259,113,5,4,258,9,245,4.06e-62,186
ID:YP_009505783.1,ID:YP_009505775.1,45.185,270,121,7,1,258,1,255,4.68e-58,176
ID:YP_009505783.1,ID:YP_009505759.1,44.231,260,136,5,4,258,9,264,1.3e-57,176
ID:YP_009505783.1,ID:YP_009505791.1,45.318,267,122,9,4,258,9,263,2.03e-56,172
ID:YP_009505783.1,ID:YP_009505771.1,42.322,267,140,5,1,258,1,262,9.85e-54,166
ID:YP_009505783.1,ID:YP_009505787.1,42.537,268,129,6,4,258,9,264,3.92e-51,159
ID:YP_009505783.1,ID:YP_009505755.1,43.191,257,133,5,4,258,12,257,1.17e-49,155
ID:YP_009505783.1,ID:YP_009505795.1,30.986,284,156,8,4,259,9,280,1.08e-27,98.2
ID:YP_009505783.1,ID:YP_003587838.1,24.828,290,154,11,5,257,3,265,9.98e-15,62.4
