"","GO:0003735","GO:0003684","GO:0005524","GO:0008270","GO:0003677","GO:0051539","GO:0003682","GO:0004222","GO:0003886","GO:0003700","GO:0000400","GO:0004252","GO:0008289","GO:0043565","GO:0008094","GO:0003697","GO:0008276","GO:0000150","GO:0009378","GO:0019843","GO:0043531","GO:0017025","GO:0009036","GO:0009007","GO:0043142","GO:0016987","GO:0003911","GO:0051880","GO:0003690","GO:0004176","GO:0070361","GO:0070362","GO:0051787","GO:0003689","GO:0003899","GO:0009037","GO:0042288","GO:0035800","GO:0008170","GO:0008568","GO:0015667","GO:0036435","GO:1904288","GO:0036402"
"13_putative_protein_13",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18_integrase",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"23_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51_ORF10",NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA
"101_hypothetical_protein",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117_ORF8",NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE,TRUE
