"","Viral_coat","Gemini_AL1","RNA_helicase","Viral_Rep","Parvo_coat_N"
"1_replication-associat..",NA,NA,TRUE,TRUE,NA
"3_putative_capsid_prot..",NA,NA,NA,NA,TRUE
"6_replication-associat..",NA,NA,NA,TRUE,NA
"22_replication-associat..",NA,NA,TRUE,NA,NA
"28_replication-associat..",NA,NA,TRUE,NA,NA
"34_hypothetical_protein",NA,NA,NA,NA,TRUE
"56_Rep-B",NA,TRUE,TRUE,NA,NA
"69_Cap",TRUE,NA,NA,NA,NA
