source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758_intersection	3_minor_capsid_protein.faa	4_hypothetical_protein.faa	5_major_capsid_protein.faa	6_minor_capsid_protein.faa	8_nonstructural_protei...faa	9_minor_capsid_protein.faa	10_hypothetical_protein.faa	12_hypothetical_protein.faa	14_hypothetical_protein.faa	18_minor_capsid_protein.faa	19_replication_initiati...faa	20_major_capsid_protein.faa	21_hypothetical_protein.faa	22_minor_capsid_protein.faa	26_minor_capsid_protein.faa	29_hypothetical_protein.faa	30_hypothetical_protein.faa	31_hypothetical_protein.faa	33_hypothetical_protein.faa	36_putative_DNA_binding...faa	37_hypothetical_protein.faa	38_hypothetical_protein.faa	39_replication_initiati...faa	40_hypothetical_protein.faa	41_structural_protein.faa	42_structural_protein.faa	43_structural_protein.faa	44_structural_protein.faa	45_mannosyl-glycoprotei...faa	46_structural_protein.faa	47_structural_protein.faa	48_structural_protein.faa	49_hypothetical_protein.faa	50_structural_protein.faa	64_minor_CP_2.faa	72_hypothetical_protein.faa	78_nonstructural_protei...faa	79_nonstructural_protei...faa	82_nonstructural_protei...faa	90_ORF8.faa	98_hypothetical_protein.faa	99_hypothetical_protein.faa	100_nonstructural_protei...faa	109_hypothetical_protein.faa	110_minor_capsid_protein.faa	113_hypothetical_protein.faa	115_nonstructural_protei...faa	120_hypothetical_protein.faa	121_putative_replication...faa	122_hypothetical_protein.faa	123_putative_minor_capsi...faa	124_hypothetical_protein.faa	125_putative_major_capsi...faa	126_hypothetical_protein.faa	127_hypothetical_protein.faa	128_hypothetical_protein.faa	131_B.faa	132_K.faa	133_C.faa	135_E.faa	138_G.faa	139_H.faa	142_K.faa	151_vp5.faa	154_vp2.faa	155_vp8.faa	307_DNA_pilot_protein_VP...faa	309_hypothetical_protein.faa	315_hypothetical_protein.faa	321_hypothetical_protein.faa	324_hypothetical_protein.faa	336_minor_capsid_protein.faa	343_hypothetical_protein.faa	346_hypothetical_protein.faa	359_hypothetical_protein.faa	369_hypothetical_protein.faa	371_hypothetical_protein.faa	374_hypothetical_protein.faa	384_hypothetical_protein.faa	391_hypothetical_protein.faa	393_hypothetical_protein.faa	394_hypothetical_protein.faa	395_DNA_pilot_protein_VP...faa	397_M16p1.faa	398_replication_initiato...faa	399_M16p3.faa	400_M16p4.faa	401_M16p5.faa	402_M16p6.faa	403_major_capsid_protein.faa	404_p10.faa	408_p4.faa	409_p5.faa	410_p6.faa	411_p7.faa	412_p8.faa	413_p9.faa	416_hypothetical_protein.faa	417_hypothetical_protein.faa	425_hypothetical_protein.faa	426_hypothetical_protein.faa	427_hypothetical_protein.faa	428_hypothetical_protein.faa	429_hypothetical_protein.faa	431_minor_capsid_protein.faa	432_hypothetical_protein.faa
Alces-alces-faeces-associated-microvirus-MP10-5560_taxid_2219133.gbk	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alces-alces-faeces-associated-microvirus-MP11-5517_taxid_2219134.gbk	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alces-alces-faeces-associated-microvirus-MP12-5423_taxid_2219135.gbk	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alces-alces-faeces-associated-microvirus-MP15-5067_taxid_2219136.gbk	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alces-alces-faeces-associated-microvirus-MP18-4940_taxid_2219137.gbk	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdellovibrio-phage-phiMH2K_taxid_145579.gbk	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulophaga-phage-phi12-2_taxid_1327969.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulophaga-phage-phi12a-1_taxid_1327987.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chimpanzee-faeces-associated-microphage-1_taxid_1676181.gbk	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chimpanzee-faeces-associated-microphage-2_taxid_1676182.gbk	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
