"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_putative_viral_repli..",128,127,"PF02407_PF00910_","1_putative_viral_repli...faa","1_putative_viral_repli...fna","1168547_1420600_1634476_2293273_1618233_1618234_1618236_1618237_1618238_1618239_1618240_1618242_1618244_1618247_1618250_1618243_1618254_1618255_1618256_1618257_1618258_1618260_759938_1868218_1868219_2050585_2050586_2050587_1572237_1329650_795381_77856_1692244_142661_1194757_743290_1379714_1379715_1379717_1379718_1379719_1379695_1379725_1379708_1379709_1788438_1788439_1788443_1788444_1788445_1788452_1788455_2050038_126070_2304514_742920_1673638_742922_742923_942037_942036_742915_742916_742917_742918_942032_942034_942033_1520935_742924_1592764_1348500_1506568_942035_1692247_1234879_1234880_1234881_1234881_1234882_1234883_1574360_1574361_1574362_2152567_2006585_324685_1380894_2249941_400122_2006642_2016459_146032_400121_2038728_1345637_2017081_2017082_2017083_743300_1173709_1128073_1475143_1959843_1959844_1959845_1611039_2169856_232802_257468_1795983_1795984_1795985_2294094_2057942_1105385_1105386_133704_85708_720569_345250_1195373_1126411_2293301_349370_459957_1732201_1642515",66.4921465968586
"2","2_hypothetical_protein",1,1,"","2_hypothetical_protein.faa","2_hypothetical_protein.fna","1168547",0.523560209424084
"3","3_putative_replication..",28,28,"PF02407_","3_putative_replication...faa","3_putative_replication...fna","1692242_1618235_1618245_1618248_1618251_1572239_1692245_1692246_1379692_1379707_1379711_1379713_2480195_1692249_1692250_2016457_2016458_1692252_1525173_1692253_1692255_1692256_1692257_1692259_1692260_1419711_1692261_1105383",14.6596858638743
"4","4_putative_capsid_prot..",11,11,"","4_putative_capsid_prot...faa","4_putative_capsid_prot...fna","1692242_1618248_2480195_2480197_1692248_1692250_2016457_1692252_1692255_1692256_1692257",5.75916230366492
"5","6_putative_capsid_prot..",1,1,"","6_putative_capsid_prot...faa","6_putative_capsid_prot...fna","1420600",0.523560209424084
"6","8_capsid_protein",2,2,"","8_capsid_protein.faa","8_capsid_protein.fna","1634476_1128073",1.04712041884817
"7","9_putative_capsid_prot..",4,4,"PF02443_","9_putative_capsid_prot...faa","9_putative_capsid_prot...fna","2293273_795381_742916_1234881",2.09424083769634
"8","12_putative_capsid_prot..",4,4,"","12_putative_capsid_prot...faa","12_putative_capsid_prot...fna","1618233_1692246_1788449_1692263",2.09424083769634
"9","13_putative_capsid_prot..",1,1,"","13_putative_capsid_prot...faa","13_putative_capsid_prot...fna","1618234",0.523560209424084
"10","15_putative_capsid_prot..",2,2,"","15_putative_capsid_prot...faa","15_putative_capsid_prot...fna","1618235_1618252",1.04712041884817
"11","17_putative_capsid_prot..",2,2,"","17_putative_capsid_prot...faa","17_putative_capsid_prot...fna","1618236_1618237",1.04712041884817
"12","22_putative_capsid_prot..",5,5,"","22_putative_capsid_prot...faa","22_putative_capsid_prot...fna","1618238_1618256_1379692_1379712_1788444",2.61780104712042
"13","23_putative_capsid_prot..",1,1,"","23_putative_capsid_prot...faa","23_putative_capsid_prot...fna","1618239",0.523560209424084
"14","26_putative_capsid_prot..",1,1,"","26_putative_capsid_prot...faa","26_putative_capsid_prot...fna","1618240",0.523560209424084
"15","27_putative_capsid_prot..",1,1,"PF08398_","27_putative_capsid_prot...faa","27_putative_capsid_prot...fna","1618242",0.523560209424084
"16","29_replication-associat..",12,12,"","29_replication-associat...faa","29_replication-associat...fna","1618232_1618246_1618253_1618259_1379720_1379710_1788440_1788449_1574422_1692248_1353241_1475062",6.282722513089
"17","30_putative_capsid_prot..",1,1,"","30_putative_capsid_prot...faa","30_putative_capsid_prot...fna","1618232",0.523560209424084
"18","31_putative_capsid_prot..",1,1,"","31_putative_capsid_prot...faa","31_putative_capsid_prot...fna","1618244",0.523560209424084
"19","33_putative_capsid_prot..",4,4,"","33_putative_capsid_prot...faa","33_putative_capsid_prot...fna","1618245_1788454_1959845_1419711",2.09424083769634
"20","36_putative_capsid_prot..",1,1,"","36_putative_capsid_prot...faa","36_putative_capsid_prot...fna","1618246",0.523560209424084
"21","37_putative_capsid_prot..",5,5,"","37_putative_capsid_prot...faa","37_putative_capsid_prot...fna","1618247_1788443_1380894_1692249_2017082",2.61780104712042
"22","41_putative_capsid_prot..",2,2,"","41_putative_capsid_prot...faa","41_putative_capsid_prot...fna","1618249_1788442",1.04712041884817
"23","42_replication-associat..",2,2,"PF00799_","42_replication-associat...faa","42_replication-associat...fna","1618249_1788442",1.04712041884817
"24","43_putative_capsid_prot..",1,1,"","43_putative_capsid_prot...faa","43_putative_capsid_prot...fna","1618250",0.523560209424084
"25","45_putative_capsid_prot..",1,1,"","45_putative_capsid_prot...faa","45_putative_capsid_prot...fna","1618251",0.523560209424084
"26","47_putative_capsid_prot..",1,1,"","47_putative_capsid_prot...faa","47_putative_capsid_prot...fna","1618252",0.523560209424084
"27","49_putative_capsid_prot..",1,1,"","49_putative_capsid_prot...faa","49_putative_capsid_prot...fna","1618253",0.523560209424084
"28","52_putative_capsid_prot..",1,1,"","52_putative_capsid_prot...faa","52_putative_capsid_prot...fna","1618243",0.523560209424084
"29","53_putative_capsid_prot..",4,4,"","53_putative_capsid_prot...faa","53_putative_capsid_prot...fna","1618254_1692244_1379713_1788451",2.09424083769634
"30","56_putative_capsid_prot..",1,1,"","56_putative_capsid_prot...faa","56_putative_capsid_prot...fna","1618255",0.523560209424084
"31","60_putative_capsid_prot..",1,1,"","60_putative_capsid_prot...faa","60_putative_capsid_prot...fna","1618257",0.523560209424084
"32","62_putative_capsid_prot..",1,1,"","62_putative_capsid_prot...faa","62_putative_capsid_prot...fna","1618258",0.523560209424084
"33","63_putative_capsid_prot..",1,1,"","63_putative_capsid_prot...faa","63_putative_capsid_prot...fna","1618259",0.523560209424084
"34","66_putative_capsid_prot..",1,1,"","66_putative_capsid_prot...faa","66_putative_capsid_prot...fna","1618260",0.523560209424084
"35","68_putative_capsid_prot..",4,4,"PF02443_","68_putative_capsid_prot...faa","68_putative_capsid_prot...fna","759938_743300_1959844_1126411",2.09424083769634
"36","70_cap",25,25,"PF02443_","70_cap.faa","70_cap.fna","1868218_1868219_1329650_77856_142661_743290_1964372_126070_2304514_324685_400122_146032_400121_1475143_232802_257468_133704_85708_720569_345250_1195373_349370_459957_1732201_1642515",13.0890052356021
"37","74_putative_capsid_prot..",36,36,"","74_putative_capsid_prot...faa","74_putative_capsid_prot...fna","2050585_2050586_2050587_1572237_1572239_2050038_742920_742922_742923_942037_942036_742915_742917_742918_942032_942034_942033_1520935_742924_1592764_1348500_1506568_942035_1234879_1234880_1234882_1234883_1574360_1574361_1574362_2152567_1530454_2038728_1345637_1755290_1795985",18.848167539267
"38","88_V2",1,1,"PF05080_","88_V2.faa","88_V2.fna","77856",0.523560209424084
"39","93_putative_capsid_prot..",1,1,"","93_putative_capsid_prot...faa","93_putative_capsid_prot...fna","1692245",0.523560209424084
"40","99_putative_capsid_prot..",1,1,"PF02443_PF02443_","99_putative_capsid_prot...faa","99_putative_capsid_prot...fna","1194757",0.523560209424084
"41","100_capsid_protein",3,3,"","100_capsid_protein.faa","100_capsid_protein.fna","2109365_1673638_2006585",1.57068062827225
"42","101_replication_associat..",17,17,"PF00910_","101_replication_associat...faa","101_replication_associat...fna","2109365_1379722_1379710_1379712_1788441_1788447_1788448_1788451_1788454_1964372_2050038_2304514_1530454_2016456_1755290_1692258_1692262",8.90052356020942
"43","102_replication_associat..",4,4,"PF00799_PF00910_","102_replication_associat...faa","102_replication_associat...fna","1676184_2480197_1475063_2017724",2.09424083769634
"44","103_hypothetical_protein",1,1,"","103_hypothetical_protein.faa","103_hypothetical_protein.fna","1676184",0.523560209424084
"45","104_putative_CP",1,1,"","104_putative_CP.faa","104_putative_CP.fna","1676184",0.523560209424084
"46","108_hypothetical_protein",1,1,"","108_hypothetical_protein.faa","108_hypothetical_protein.fna","1379692",0.523560209424084
"47","109_hypothetical_protein",1,1,"","109_hypothetical_protein.faa","109_hypothetical_protein.fna","1379692",0.523560209424084
"48","112_hypothetical_protein",1,1,"","112_hypothetical_protein.faa","112_hypothetical_protein.fna","1379714",0.523560209424084
"49","113_hypothetical_protein",1,1,"","113_hypothetical_protein.faa","113_hypothetical_protein.fna","1379714",0.523560209424084
