"","1_para-Rep1","4_orf2","5_orf1","6_orf3"
"1441796",FALSE,FALSE,FALSE,FALSE
"1441799",FALSE,FALSE,FALSE,FALSE
"1441800",FALSE,FALSE,FALSE,FALSE
"1453080",FALSE,TRUE,TRUE,TRUE
"1453081",FALSE,FALSE,FALSE,FALSE
"1453082",FALSE,FALSE,FALSE,FALSE
"1453083",FALSE,FALSE,FALSE,FALSE
"1455651",FALSE,FALSE,FALSE,FALSE
"1455652",FALSE,FALSE,FALSE,FALSE
"1455653",FALSE,FALSE,FALSE,FALSE
"1455654",FALSE,FALSE,FALSE,FALSE
"1441797",FALSE,FALSE,FALSE,FALSE
"1980161",FALSE,FALSE,FALSE,FALSE
"1980165",FALSE,FALSE,FALSE,FALSE
"1980168",FALSE,FALSE,FALSE,FALSE
"1980173",FALSE,FALSE,FALSE,FALSE
"1980174",FALSE,FALSE,FALSE,FALSE
"1458458",FALSE,FALSE,FALSE,FALSE
