Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,Halogeometricum-pleomorphic-virus-1_taxid_1156722.gbk,Halorubrum-pleomorphic-virus-10_taxid_2507576.gbk,Halorubrum-pleomorphic-virus-11_taxid_2507577.gbk,Halorubrum-pleomorphic-virus-12_taxid_2507578.gbk,Halorubrum-pleomorphic-virus-1_taxid_634168.gbk,Halorubrum-pleomorphic-virus-2_taxid_1156719.gbk,Halorubrum-pleomorphic-virus-3_taxid_1156720.gbk,Halorubrum-pleomorphic-virus-6_taxid_1156721.gbk
1_VP1.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
2_putative_protein_2.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
4_putative_protein_4.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
5_putative_protein_5.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0
7_putative_protein_7.faa,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0
8_putative_protein_8.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
9_putative_protein_9.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
10_putative_protein_10.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
11_putative_protein_11.faa,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0
12_putative_protein_12.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
13_putative_protein_13.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
14_putative_protein_14.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
15_putative_protein_15.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
16_putative_protein_16.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
17_putative_protein_17.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
18_ORF1.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
19_2.faa,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,0
20_3.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
25_ORF8.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
27_ORF10.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
28_ORF11.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
29_ORF12.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
30_ORF13.faa,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,0
32_ORF15.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
34_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0
35_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0
41_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0
44_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0
45_ORF12.faa,,,,,,,,,,,,,,0,0,1,1,1,0,0,1,0
54_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0
59_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0
73_AdoMet-MTase.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
77_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
78_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
79_VP3.faa,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,1
80_VP4_precursor.faa,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
81_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
84_VP8.faa,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,0
85_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
86_ORF1.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1
87_ORF2.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0
88_ORF3.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1
93_ORF8.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1
94_ORF9.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0
95_ORF10.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0
96_ORF11.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0
97_ORF12.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0
100_ORF15.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1
101_1.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
103_ORF3.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
107_ORF7.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
108_ORF8.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
110_ORF10.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
111_ORF11.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
114_ORF2.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
121_ORF9.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
