"","PPV_E1_C","Parvo_coat","Parvo_NS1","Parvo_coat_N"
"1_NS1",NA,NA,TRUE,NA
"4_NS1",TRUE,NA,TRUE,NA
"10_NS1",NA,NA,TRUE,NA
"11_putative_VP1",NA,TRUE,NA,TRUE
"13_VP2",NA,TRUE,NA,NA
"16_non-structural_prote..",NA,NA,TRUE,NA
"18_nonstructural_protei..",NA,NA,TRUE,NA
"20_NS1",NA,NA,TRUE,NA
"30_cap",NA,NA,NA,TRUE
"36_non-structural_prote..",NA,NA,TRUE,NA
