cluster	prevalence	term	what	familia	algoritmo
104_ORF3	13.725490196078432	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
138_hypothetical_protein	3.9215686274509802	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
144_ORF3	3.9215686274509802	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
15_ORF2	39.21568627450981	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
150_ORF1-1	1.9607843137254901	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
151_hypothetical_protein	1.9607843137254901	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
152_hypothetical_protein	1.9607843137254901	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
18_VP1	3.9215686274509802	endocytosis involved in viral entry into host cell [GO:0075509]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
18_VP1	3.9215686274509802	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
18_VP1	3.9215686274509802	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
3_VP1	13.725490196078432	endocytosis involved in viral entry into host cell [GO:0075509]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
3_VP1	13.725490196078432	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
3_VP1	13.725490196078432	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
36_ORF1	13.725490196078432	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
43_ORF2	5.88235294117647	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	COG
