QueryID,SubjectID,Perc.Ident,Alignment.Length,Mismatches,Gap.Openings,Q.start,Q.end,S.start,S.end,E,Bits
ID:YP_009551449.1,ID:YP_009551449.1,100,526,0,0,1,526,1,526,0,1087
ID:YP_009551449.1,ID:YP_009252309.1,48.68,341,156,10,1,336,1,327,1.08e-97,292
ID:YP_009551449.1,ID:YP_009054986.1,44.624,372,159,11,1,340,1,357,3.81e-94,283
ID:YP_009551449.1,ID:YP_009508829.1,42.779,367,154,11,1,327,1,351,3.64e-89,271
ID:YP_009551449.1,ID:YP_009118271.1,36.898,374,170,13,1,337,39,383,3.78e-64,206
ID:YP_009551449.1,ID:YP_009252325.1,36.415,357,176,11,1,337,1,326,1.77e-62,201
ID:YP_009551449.1,ID:YP_009508861.1,54.255,188,76,4,2,183,20,203,1.55e-61,200
ID:YP_009551449.1,ID:YP_009508861.1,46.296,108,49,3,231,329,293,400,1.17e-23,94.7
ID:YP_009551449.1,ID:YP_009508855.1,37.5,328,173,10,1,322,1,302,9.17e-60,193
ID:YP_009551449.1,ID:YP_009118273.1,37.879,330,171,9,1,322,6,309,1.55e-58,190
ID:YP_009551449.1,ID:YP_009252321.1,35.714,336,167,8,1,322,1,301,2.22e-58,189
ID:YP_009551449.1,ID:YP_009508853.1,37.082,329,177,12,1,322,17,322,4.43e-58,189
ID:YP_009551449.1,ID:YP_009030024.1,36.31,336,165,9,1,322,1,301,4.81e-58,189
ID:YP_009551449.1,ID:YP_009408602.1,36.637,333,164,9,1,322,1,297,8.95e-57,185
ID:YP_009551449.1,ID:YP_009054984.1,34.412,340,180,10,1,322,1,315,1.68e-56,185
ID:YP_009551449.1,ID:YP_009054988.1,37.987,308,141,10,42,323,29,312,8.7e-54,177
ID:YP_009551449.1,ID:YP_009163760.1,35.329,334,186,10,8,323,4,325,1.85e-44,153
ID:YP_009551449.1,ID:YP_009508856.1,29.819,332,188,10,7,323,2,303,2.82e-39,138
ID:YP_009551449.1,ID:YP_009054992.1,28.869,336,208,9,12,345,32,338,1.49e-32,119
ID:YP_009551449.1,ID:YP_009252305.1,28.28,343,184,12,9,334,5,302,2.21e-32,119
ID:YP_009551449.1,ID:YP_009118277.1,27.027,333,199,11,12,326,7,313,3.45e-31,115
ID:YP_009551449.1,ID:YP_009508864.1,27.273,330,200,10,7,319,2,308,5.61e-31,115
ID:YP_009551449.1,ID:YP_009054990.1,27.9,319,196,13,12,325,8,297,4.49e-29,109
ID:YP_009551449.1,ID:YP_006331068.1,25.392,319,192,10,12,325,7,284,6.4e-29,108
ID:YP_009551449.1,ID:YP_009508866.1,26.101,318,182,9,12,323,8,278,4.68e-28,106
ID:YP_009551449.1,ID:YP_009252317.1,28.076,317,175,10,12,322,8,277,3.18e-27,103
ID:YP_009551449.1,ID:YP_009022026.1,26.791,321,192,10,12,323,8,294,1.14e-26,102
ID:YP_009551449.1,ID:YP_009508836.1,26.183,317,178,11,10,322,28,292,2.99e-26,101
ID:YP_009551449.1,ID:YP_009551393.1,26.959,319,187,10,7,321,2,278,4.93e-26,100
ID:YP_009551449.1,ID:YP_009252319.1,26.101,318,185,9,9,319,8,282,1.39e-25,99.4
ID:YP_009551449.1,ID:YP_009508833.1,26.81,373,222,13,8,372,26,355,3.11e-25,98.6
ID:YP_009551449.1,ID:YP_009252313.1,25.857,321,187,11,8,319,9,287,4.4e-25,97.8
ID:YP_009551449.1,ID:YP_009252311.1,23.926,326,193,7,3,319,2,281,1.22e-24,96.7
ID:YP_009551449.1,ID:YP_009508828.1,26.543,324,198,10,4,325,15,300,2.36e-24,95.9
ID:YP_009551449.1,ID:YP_009252323.1,27.554,323,198,12,12,326,8,302,2.3e-23,92.8
ID:YP_009551449.1,ID:YP_009508849.1,24.204,314,189,9,12,319,11,281,7.47e-23,91.3
ID:YP_009551449.1,ID:YP_009508843.1,26.006,323,174,9,3,320,2,264,2e-21,86.7
ID:YP_009551449.1,ID:YP_007974227.1,23.988,321,172,9,8,321,3,258,3.45e-20,82.8
ID:YP_009551449.1,ID:YP_009252315.1,24.928,349,196,16,12,348,8,302,4.1e-20,82.4
ID:YP_009551449.1,ID:YP_009508845.1,26.25,320,175,10,9,321,4,269,8.09e-20,82
ID:YP_009551449.1,ID:YP_009118275.1,24.189,339,191,11,9,337,16,298,2.41e-19,80.5
ID:YP_009551449.1,ID:YP_009252307.1,23.148,324,193,8,6,323,2,275,2.97e-19,80.1
ID:YP_009551449.1,ID:YP_009508838.1,25.938,320,156,9,9,321,4,249,6.36e-19,79
ID:YP_009551449.1,ID:YP_009551944.1,25.159,314,177,10,10,321,21,278,9.2e-19,79
ID:YP_009551449.1,ID:YP_009508840.1,24.847,326,176,9,3,321,2,265,1.34e-18,78.2
ID:YP_009551449.1,ID:YP_009116878.1,24.367,316,170,11,9,321,5,254,2.44e-16,71.2
ID:YP_009551449.1,ID:YP_009337833.1,24.127,315,172,10,9,321,4,253,3.59e-16,70.9
ID:YP_009551449.1,ID:YP_007974229.1,23.053,321,165,12,8,321,3,248,1.22e-15,68.9
ID:YP_009551449.1,ID:YP_009508851.1,25.338,296,155,10,37,328,35,268,2.03e-15,68.6
ID:YP_009551449.1,ID:YP_009508841.1,23.101,316,174,11,9,321,5,254,4.73e-15,67.4
ID:YP_009252315.1,ID:YP_009252315.1,100,317,0,0,1,317,1,317,0,655
ID:YP_009252315.1,ID:YP_009508836.1,38.941,321,190,4,1,317,23,341,3.03e-66,204
ID:YP_009252315.1,ID:YP_009551393.1,35.045,331,193,7,4,317,3,328,1.61e-64,199
ID:YP_009252315.1,ID:YP_009508866.1,35.714,336,187,9,1,317,1,326,1.01e-63,196
ID:YP_009252315.1,ID:YP_009054990.1,33.913,345,198,7,1,317,1,343,8.16e-63,195
ID:YP_009252315.1,ID:YP_009022026.1,35.714,350,184,7,1,317,1,342,1.06e-62,194
ID:YP_009252315.1,ID:YP_009054992.1,34.188,351,189,10,1,317,25,367,1.11e-57,182
ID:YP_009252315.1,ID:YP_006331068.1,34.615,338,187,6,4,317,3,330,1.08e-56,179
ID:YP_009252315.1,ID:YP_009508864.1,35.068,365,184,9,4,317,3,365,1.65e-56,179
ID:YP_009252315.1,ID:YP_009252305.1,35.429,350,189,10,1,317,1,346,6.95e-56,177
ID:YP_009252315.1,ID:YP_009118277.1,34.341,364,185,9,4,317,3,362,1.74e-54,174
ID:YP_009252315.1,ID:YP_009508856.1,32.286,350,188,7,4,311,3,345,3.37e-54,173
ID:YP_009252315.1,ID:YP_009508828.1,33.526,346,187,9,1,317,16,347,3.13e-53,170
ID:YP_009252315.1,ID:YP_009252317.1,36.102,313,169,11,1,293,1,302,1.14e-51,166
ID:YP_009252315.1,ID:YP_009508833.1,33.851,322,171,10,1,293,23,331,1.17e-48,159
ID:YP_009252315.1,ID:YP_009252313.1,34.551,356,176,13,1,317,6,343,1.35e-47,155
ID:YP_009252315.1,ID:YP_009252323.1,32.295,353,198,8,1,317,1,348,1.94e-47,155
ID:YP_009252315.1,ID:YP_009252319.1,37.193,285,157,9,3,269,6,286,2.48e-47,155
ID:YP_009252315.1,ID:YP_009252307.1,34.769,325,166,10,1,298,1,306,7.31e-47,153
ID:YP_009252315.1,ID:YP_009252311.1,31.232,349,201,12,4,317,7,351,8.93e-42,140
ID:YP_009252315.1,ID:YP_009508849.1,33.673,294,148,9,3,266,6,282,5.69e-41,137
ID:YP_009252315.1,ID:YP_009551449.1,24.928,349,196,16,8,302,12,348,2.47e-20,82.4
ID:YP_009252315.1,ID:YP_009252321.1,25.89,309,180,12,7,276,11,309,2.23e-19,79
ID:YP_009252315.1,ID:YP_009030024.1,29.798,198,129,7,7,202,11,200,3.86e-18,75.1
ID:YP_009252315.1,ID:YP_009252325.1,30.909,165,107,4,7,169,11,170,1.04e-17,73.9
ID:YP_009252315.1,ID:YP_009508861.1,28.409,176,113,5,7,170,29,203,2.65e-17,73.2
ID:YP_009252315.1,ID:YP_009508861.1,34.211,38,23,1,231,268,358,393,6.42e-4,32
ID:YP_009252315.1,ID:YP_009054986.1,27.326,172,120,2,3,169,7,178,2.69e-17,72.8
ID:YP_009252315.1,ID:YP_009054986.1,30,40,26,1,229,268,298,335,5.38e-4,32.3
ID:YP_009252315.1,ID:YP_009118271.1,27.692,195,106,4,6,170,48,237,7.59e-17,72
ID:YP_009252315.1,ID:YP_009054984.1,25.077,323,167,12,3,266,7,313,4e-16,69.3
ID:YP_009252315.1,ID:YP_009508853.1,27.848,237,133,10,3,224,23,236,5.16e-16,69.3
ID:YP_009252315.1,ID:YP_009163760.1,41.573,89,50,1,1,87,1,89,1.69e-15,67.8
ID:YP_009252315.1,ID:YP_009163760.1,33.333,30,19,1,215,244,87,115,4.6,19.6
ID:YP_009252315.1,ID:YP_009508829.1,27.811,169,115,3,7,169,11,178,3.27e-15,66.6
ID:YP_009252315.1,ID:YP_009054988.1,35.385,130,70,6,39,166,30,147,1.1e-14,65.1
ID:YP_009252315.1,ID:YP_009408602.1,25.413,303,181,11,8,273,12,306,1.26e-14,65.1
