"","ATP binding","ATPase activity","DNA binding","DNA-binding transcription factor activity","regulation of transcription, DNA-templated","sigma factor activity","DNA-templated transcription, initiation","N-methyltransferase activity","DNA methylation"
"13_putative_protein_13",NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"27_ORF10",NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
"93_ORF8",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
