source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Circoviridae/cluster_3_homologues_19062021_0417_intersection	Chimpanzee-faeces-associated-circular-DNA-virus-1_taxid_1676184.gbk	Circoviridae-1-LDMD-2013_taxid_1379692.gbk	Circoviridae-2-LDMD-2013_taxid_1379695.gbk	Circoviridae-8-LDMD-2013_taxid_1379712.gbk	Culex-circovirus-like-virus_taxid_2304514.gbk	Human-fecal-virus-Jorvi2_taxid_2017081.gbk	Po-Circo-like-virus-21_taxid_1105383.gbk	
1_replication_associat...faa	1	0	0	0	0	0	0	
2_hypothetical_protein.faa	1	0	0	0	0	0	0	
3_putative_CP.faa	1	0	0	0	0	0	0	
4_replication-associat...faa	0	1	0	0	0	0	1	
5_hypothetical_protein.faa	0	1	0	0	0	0	0	
6_hypothetical_protein.faa	0	1	0	0	0	0	0	
7_putative_viral_capsi...faa	0	1	0	1	0	0	0	
8_replication-associat...faa	0	0	1	0	1	1	0	
9_putative_viral_capsi...faa	0	0	1	0	0	0	0	
10_hypothetical_protein.faa	0	0	0	1	0	0	0	
11_replication-associat...faa	0	0	0	1	0	0	0	
13_hypothetical_protein.faa	0	0	0	1	0	0	0	
14_putative_viral_capsi...faa	0	0	0	1	0	0	0	
15_replication-associat...faa	0	0	0	0	1	0	0	
16_capsid_protein.faa	0	0	0	0	1	0	0	
18_capsid_protein.faa	0	0	0	0	1	0	0	
20_hypothetical_protein.faa	0	0	0	0	0	1	0	
21_hypothetical_protein.faa	0	0	0	0	0	1	1	
22_hypothetical_protein.faa	0	0	0	0	0	1	0	
23_hypothetical_protein.faa	0	0	0	0	0	1	0	
25_hypothetical_protein.faa	0	0	0	0	0	0	1	
26_hypothetical_protein.faa	0	0	0	0	0	0	1	
28_hypothetical_protein.faa	0	0	0	0	0	0	1	
