"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_hypothetical_protein",1,1,"","1_hypothetical_protein.faa","1_hypothetical_protein.fna","2249930",1.96078431372549
"2","2_VP2",2,2,"PF02957_","2_VP2.faa","2_VP2.fna","2249930_1670973",3.92156862745098
"3","3_VP1",7,7,"PF04162_","3_VP1.faa","3_VP1.fna","2249930_1002273_12618_1163715_1548711_1670973_1415628",13.7254901960784
"4","4_ORF3",1,1,"","4_ORF3.faa","4_ORF3.fna","2249930",1.96078431372549
"5","5_putative_dual-specif..",5,5,"PF02957_","5_putative_dual-specif...faa","5_putative_dual-specif...fna","1002273_12618_1163715_1548711_1415628",9.80392156862745
"6","6_VP3",5,5,"PF04771_","6_VP3.faa","6_VP3.fna","1002273_12618_1163715_1548711_1415628",9.80392156862745
"7","8_hypothetical_protein",1,1,"","8_hypothetical_protein.faa","8_hypothetical_protein.fna","12618",1.96078431372549
"8","12_ORF2",2,2,"","12_ORF2.faa","12_ORF2.fna","2016460_1514665",3.92156862745098
"9","13_ORF1",9,9,"PF02956_","13_ORF1.faa","13_ORF1.fna","2016460_1427157_1427156_991022_2012676_2012677_2065043_687384_1218490",17.6470588235294
"10","14_ORF3",1,1,"","14_ORF3.faa","14_ORF3.fna","2016460",1.96078431372549
"11","15_ORF2",20,20,"PF02957_","15_ORF2.faa","15_ORF2.fna","1743411_289366_289367_93678_2065044_2065045_2065036_2065037_2065038_1859149_687369_687370_687371_687372_687373_687374_687375_687376_687377_1535290",39.2156862745098
"12","16_ORF1",21,21,"PF02956_","16_ORF1.faa","16_ORF1.fna","1743411_289366_289367_93678_2065044_2065045_2065036_2065037_2065038_1859149_687369_687370_687371_687372_687373_687374_687375_687376_687377_1535290_1535291",41.1764705882353
"13","17_VP2",1,1,"","17_VP2.faa","17_VP2.fna","1214955",1.96078431372549
"14","18_VP1",2,2,"PF04162_PF04162_PF04162_","18_VP1.faa","18_VP1.fna","1214955_1415627",3.92156862745098
"15","26_Hypothetical_protein",1,1,"","26_Hypothetical_protein.faa","26_Hypothetical_protein.fna","1670973",1.96078431372549
"16","28_VP2",1,1,"PF02957_","28_VP2.faa","28_VP2.fna","1415627",1.96078431372549
"17","29_hypothetical_protein",1,1,"","29_hypothetical_protein.faa","29_hypothetical_protein.fna","1415627",1.96078431372549
"18","34_ORF3",2,1,"PF02957_","34_ORF3.faa","34_ORF3.fna","2012640_2012640",1.96078431372549
"19","36_ORF1",7,7,"PF02956_","36_ORF1.faa","36_ORF1.fna","2012640_1514665_2054613_1543419_2010248_1968861_1239832",13.7254901960784
"20","39_ORF3",1,1,"","39_ORF3.faa","39_ORF3.fna","1514665",1.96078431372549
"21","41_hypothetical_protein",1,1,"","41_hypothetical_protein.faa","41_hypothetical_protein.fna","2054613",1.96078431372549
"22","42_hypothetical_protein",1,1,"","42_hypothetical_protein.faa","42_hypothetical_protein.fna","2054613",1.96078431372549
"23","43_ORF2",3,3,"PF02957_","43_ORF2.faa","43_ORF2.fna","1427157_2012676_2012677",5.88235294117647
"24","45_ORF3",6,6,"","45_ORF3.faa","45_ORF3.fna","1427157_1427156_991022_2012676_2012677_1218490",11.7647058823529
"25","46_ORF2",4,4,"","46_ORF2.faa","46_ORF2.fna","1427156_991022_2012676_2012677",7.84313725490196
"26","54_ORF3",1,1,"PF05501_","54_ORF3.faa","54_ORF3.fna","289366",1.96078431372549
"27","56_hypothetical_protein",1,1,"PF02956_","56_hypothetical_protein.faa","56_hypothetical_protein.fna","289367",1.96078431372549
"28","58_hypothetical_protein",2,2,"PF05501_","58_hypothetical_protein.faa","58_hypothetical_protein.fna","289367_2065045",3.92156862745098
"29","59_hypothetical_protein",1,1,"","59_hypothetical_protein.faa","59_hypothetical_protein.fna","289367",1.96078431372549
"30","62_hypothetical_protein",1,1,"PF05501_","62_hypothetical_protein.faa","62_hypothetical_protein.fna","93678",1.96078431372549
"31","71_ORF2",4,4,"","71_ORF2.faa","71_ORF2.fna","1543419_1535291_1968861_1239832",7.84313725490196
"32","73_ORF3",1,1,"PF05501_","73_ORF3.faa","73_ORF3.fna","1543419",1.96078431372549
"33","74_hypothetical_protein",1,1,"","74_hypothetical_protein.faa","74_hypothetical_protein.fna","687385",1.96078431372549
"34","75_hypothetical_protein",1,1,"","75_hypothetical_protein.faa","75_hypothetical_protein.fna","687385",1.96078431372549
"35","76_hypothetical_protein",1,1,"PF02956_PF02956_","76_hypothetical_protein.faa","76_hypothetical_protein.fna","687385",1.96078431372549
"36","77_ORF1",1,1,"PF02956_","77_ORF1.faa","77_ORF1.fna","1673633",1.96078431372549
"37","78_hypothetical_protein",1,1,"","78_hypothetical_protein.faa","78_hypothetical_protein.fna","1673633",1.96078431372549
"38","79_hypothetical_protein",1,1,"","79_hypothetical_protein.faa","79_hypothetical_protein.fna","1673633",1.96078431372549
"39","80_hypothetical_protein",1,1,"","80_hypothetical_protein.faa","80_hypothetical_protein.fna","1673633",1.96078431372549
"40","81_ORF2",1,1,"","81_ORF2.faa","81_ORF2.fna","2065043",1.96078431372549
"41","83_ORF3",1,1,"","83_ORF3.faa","83_ORF3.fna","2065043",1.96078431372549
