source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409_intersection	Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk	Avian-gyrovirus-2_taxid_1002273.gbk	Chicken-anemia-virus_taxid_12618.gbk	Giant-panda-anellovirus_taxid_2016460.gbk	Gorilla-anellovirus_taxid_1743411.gbk	Gyrovirus-4_taxid_1214955.gbk	Gyrovirus-GyV3_taxid_1163715.gbk	Gyrovirus-GyV7-SF_taxid_1548711.gbk	Gyrovirus-GyV8_taxid_1670973.gbk	Gyrovirus-Tu243_taxid_1415627.gbk	Gyrovirus-Tu789_taxid_1415628.gbk	Lesser-panda-anellovirus_taxid_2012640.gbk	Rodent-Torque-teno-virus-2_taxid_1514665.gbk	Rodent-Torque-teno-virus-3_taxid_2054610.gbk	Rodent-Torque-teno-virus-4_taxid_2054611.gbk	Rodent-Torque-teno-virus-6_taxid_2054613.gbk	Seal-anellovirus-2_taxid_1427157.gbk	Seal-anellovirus-3_taxid_1427156.gbk	Seal-anellovirus-TFFN-USA-2006_taxid_991022.gbk	Simian-torque-teno-virus-30_taxid_1619218.gbk	Simian-torque-teno-virus-31_taxid_1619219.gbk	Simian-torque-teno-virus-32_taxid_1619220.gbk	Simian-torque-teno-virus-33_taxid_1629656.gbk	Simian-torque-teno-virus-34_taxid_1629657.gbk	Small-anellovirus-1_taxid_289366.gbk	Small-anellovirus-2_taxid_289367.gbk	TTV-like-mini-virus_taxid_93678.gbk	Torque-teno-Leptonychotes-weddellii-virus-1_taxid_2012676.gbk	Torque-teno-Leptonychotes-weddellii-virus-2_taxid_2012677.gbk	Torque-teno-Tadarida-brasiliensis-virus_taxid_1543419.gbk	Torque-teno-canis-virus_taxid_687385.gbk	Torque-teno-douroucouli-virus_taxid_687383.gbk	Torque-teno-equus-virus-1_taxid_1673633.gbk	Torque-teno-felis-virus-2_taxid_2065043.gbk	Torque-teno-felis-virus_taxid_687384.gbk	Torque-teno-indri-virus-1_taxid_2010248.gbk	Torque-teno-midi-virus-10_taxid_2065051.gbk	Torque-teno-midi-virus-11_taxid_2065052.gbk	Torque-teno-midi-virus-12_taxid_2065053.gbk	Torque-teno-midi-virus-13_taxid_2065054.gbk	Torque-teno-midi-virus-14_taxid_2065055.gbk	Torque-teno-midi-virus-15_taxid_2065056.gbk	Torque-teno-midi-virus-1_taxid_687379.gbk	Torque-teno-midi-virus-2_taxid_687380.gbk	Torque-teno-midi-virus-3_taxid_2065044.gbk	Torque-teno-midi-virus-4_taxid_2065045.gbk	Torque-teno-midi-virus-5_taxid_2065046.gbk	Torque-teno-midi-virus-6_taxid_2065047.gbk	Torque-teno-midi-virus-7_taxid_2065048.gbk	Torque-teno-midi-virus-8_taxid_2065049.gbk	Torque-teno-midi-virus-9_taxid_2065050.gbk	Torque-teno-mini-virus-10_taxid_2065036.gbk	Torque-teno-mini-virus-11_taxid_2065037.gbk	Torque-teno-mini-virus-12_taxid_2065038.gbk	Torque-teno-mini-virus-18_taxid_1859149.gbk	Torque-teno-mini-virus-1_taxid_687369.gbk	Torque-teno-mini-virus-2_taxid_687370.gbk	Torque-teno-mini-virus-3_taxid_687371.gbk	Torque-teno-mini-virus-4_taxid_687372.gbk	Torque-teno-mini-virus-5_taxid_687373.gbk	Torque-teno-mini-virus-6_taxid_687374.gbk	Torque-teno-mini-virus-7_taxid_687375.gbk	Torque-teno-mini-virus-8_taxid_687376.gbk	Torque-teno-mini-virus-9_taxid_687377.gbk	Torque-teno-mini-virus-ALA22_taxid_1535290.gbk	Torque-teno-mini-virus-ALH8_taxid_1535291.gbk	Torque-teno-sus-virus-k2a_taxid_1968861.gbk	Torque-teno-sus-virus-k2b_taxid_1239832.gbk	Torque-teno-tamarin-virus_taxid_687382.gbk	Torque-teno-tupaia-virus_taxid_687381.gbk	Torque-teno-virus-10_taxid_687349.gbk	Torque-teno-virus-11_taxid_687350.gbk	Torque-teno-virus-12_taxid_687351.gbk	Torque-teno-virus-13_taxid_687352.gbk	Torque-teno-virus-14_taxid_687353.gbk	Torque-teno-virus-15_taxid_687354.gbk	Torque-teno-virus-16_taxid_687355.gbk	Torque-teno-virus-19_taxid_687358.gbk	Torque-teno-virus-1_taxid_687340.gbk	Torque-teno-virus-20_taxid_687359.gbk	Torque-teno-virus-21_taxid_687360.gbk	Torque-teno-virus-23_taxid_687362.gbk	Torque-teno-virus-24_taxid_687363.gbk	Torque-teno-virus-25_taxid_687364.gbk	Torque-teno-virus-26_taxid_687365.gbk	Torque-teno-virus-27_taxid_687366.gbk	Torque-teno-virus-28_taxid_687367.gbk	Torque-teno-virus-29_taxid_687368.gbk	Torque-teno-virus-2_taxid_687341.gbk	Torque-teno-virus-3_taxid_687342.gbk	Torque-teno-virus-4_taxid_687343.gbk	Torque-teno-virus-5_taxid_687344.gbk	Torque-teno-virus-6_taxid_687345.gbk	Torque-teno-virus-7_taxid_687346.gbk	Torque-teno-virus-8_taxid_687347.gbk	Torque-teno-zalophus-virus-1_taxid_1218490.gbk	
1_hypothetical_protein.faa	ID:YP_009553240.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
3_VP1.faa	ID:YP_009553242.1,	ID:YP_004376205.1,	ID:NP_056775.1,	-	-	-	ID:YP_005454312.1,	ID:YP_009072436.1,	ID:YP_009154717.1,	-	ID:YP_008798241.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
4_ORF3.faa	ID:YP_009553243.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6_VP3.faa	-	ID:YP_004376204.1,	ID:NP_056774.1,	-	-	-	ID:YP_005454311.1,	ID:YP_009072435.1,	-	-	ID:YP_008798240.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
8_hypothetical_protein.faa	-	-	ID:NP_595041.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
12_ORF2.faa	-	-	-	ID:YP_009389429.1,	-	-	-	-	-	-	-	-	ID:YP_009112880.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
13_ORF1.faa	-	-	-	ID:YP_009389430.1,	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009058903.1,	ID:YP_009058900.1,	ID:YP_004286324.1,	-	-	-	-	-	-	-	-	ID:YP_009388631.1,	ID:YP_009388627.1,	-	-	-	-	ID:YP_009505748.1,	ID:YP_003587837.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_002640216.1,	
14_ORF3.faa	-	-	-	ID:YP_009389431.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
16_ORF1.faa	-	-	-	-	ID:YP_009268642.1,	-	-	-	-	-	-	ID:YP_009551687.1,	ID:YP_009112881.1,	ID:YP_009553017.1,ID:YP_009551911.1,	-	ID:YP_009552545.1,	-	-	-	ID:YP_009126951.1,	ID:YP_009126942.1,	ID:YP_009126947.1,	ID:YP_009129291.1,	ID:YP_009129295.1,	ID:YP_238295.1,	ID:YP_238299.1,	ID:YP_007518450.1,	-	-	ID:YP_009058944.1,	-	ID:YP_003587887.1,	-	-	-	ID:YP_009380544.1,	ID:YP_009505778.1,	ID:YP_009505782.1,	ID:YP_009505786.1,	ID:YP_009505790.1,	ID:YP_009505794.1,	ID:YP_009505798.1,	ID:YP_001109584.1,	ID:YP_003587905.1,	ID:YP_009505751.1,	ID:YP_009505753.1,	ID:YP_009505758.1,	ID:YP_009505762.1,	ID:YP_009505766.1,	ID:YP_009505770.1,	ID:YP_009505774.1,	ID:YP_009505734.1,	ID:YP_009505738.1,	ID:YP_009505741.1,	ID:YP_009256215.1,	ID:YP_003587916.1,	ID:YP_003587884.1,	ID:YP_003587890.1,	ID:YP_003587896.1,	ID:YP_003587893.1,	ID:YP_003587911.1,	ID:YP_003587871.1,	ID:YP_003587826.1,	ID:NP_054656.1,	ID:YP_009109710.1,	ID:YP_009109713.1,	ID:YP_004021926.1,	ID:YP_009505801.1,	ID:YP_003587880.1,	-	ID:YP_003587853.1,	ID:YP_009505715.1,	ID:YP_003587849.1,	ID:YP_009505717.1,	-	ID:YP_003587914.1,	ID:YP_003587898.1,	ID:YP_003587857.1,	ID:NP_817122.1,	ID:YP_009505721.1,	ID:YP_009505723.1,	ID:YP_009505725.1,	ID:YP_009505729.1,	ID:YP_003587873.1,	ID:YP_003587859.1,	ID:YP_003587845.1,	ID:YP_003587841.1,	ID:YP_009505731.1,	ID:YP_004021043.1,	ID:YP_003587868.1,	ID:YP_003587828.1,	ID:YP_009505712.1,	ID:YP_003587909.1,	ID:YP_003587862.1,	ID:YP_003587878.1,	-	
17_VP2.faa	-	-	-	-	-	ID:YP_006576516.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
18_VP1.faa	-	-	-	-	-	ID:YP_006576517.1,	-	-	-	ID:YP_008798238.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
26_Hypothetical_protein.faa	-	-	-	-	-	-	-	-	ID:YP_009154716.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
28_VP2.faa	-	-	-	-	-	-	-	-	-	ID:YP_008798236.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
29_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	ID:YP_008798237.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
34_ORF3.faa	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009551685.1,ID:YP_009551686.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
39_ORF3.faa	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009112882.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
41_putative_ORF1.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009552544.1,	ID:YP_009551913.1,ID:YP_009553507.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_003587834.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
42_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009551910.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
44_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009551912.1,	-	ID:YP_009552547.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
48_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009552546.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
