cluster	prevalence	term	what	familia	algoritmo
106_ORF1	1.0204081632653061	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
118_orf2	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
119_hypothetical_protein	22.448979591836736	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
120_hypothetical_protein	23.46938775510204	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
13_ORF1	9.183673469387756	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
141_hypothetical_protein	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
15_ORF2	60.204081632653065	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
16_ORF1	74.48979591836735	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
18_VP1	2.0408163265306123	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
2_VP2	2.0408163265306123	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
221_hypothetical_protein	2.0408163265306123	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
236_hypothetical_protein	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
238_hypothetical_protein	1.0204081632653061	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
252_hypothetical_protein	1.0204081632653061	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
259_orf2-5	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
277_hypothetical_protein	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
28_VP2	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
282_hypothetical_protein	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
3_VP1	7.142857142857142	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
34_ORF3	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
41_putative_ORF1	3.061224489795918	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
5_putative_dual-specif..	5.1020408163265305	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
50_ORF2	3.061224489795918	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
6_VP3	5.1020408163265305	induction by virus of host apoptotic process [GO:0019051]	bp	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
6_VP3	5.1020408163265305	suppression by virus of host exit from mitosis [GO:0039593]	bp	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
6_VP3	5.1020408163265305	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
74_ORF2	1.0204081632653061	protein tyrosine phosphatase activity [GO:0004725]	mf	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
82_hypothetical_protein	1.0204081632653061	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Anelloviridae/Anelloviridae_all_homologues_19062021_0409/	OMCL
