cluster	prevalence	term	what	familia	algoritmo
1_putative_viral_repli..	72.99270072992701	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	viral protein processing [GO:0019082]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	RNA-protein covalent cross-linking [GO:0018144]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	pore-mediated entry of viral genome into host cell [GO:0044694]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	suppression by virus of host translation initiation factor activity [GO:0039611]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	protein complex oligomerization [GO:0051259]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	induction by virus of host autophagy [GO:0039520]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	suppression by virus of host mRNA export from nucleus [GO:0039522]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	pore formation by virus in membrane of host cell [GO:0039707]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	positive stranded viral RNA replication [GO:0039690]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	transcription, DNA-templated [GO:0006351]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	viral DNA cleavage involved in viral genome maturation [GO:0019071]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
