1,Badger-associated-gemykibivirus-1_taxid_1634484.gbk,ID:YP_009130621.1 |[Badger associated gemykibivirus 1]|588t|Badger-associated-gemykibivirus-1_taxid_1634484.gbk|capsid|909|NC_026806(2112):102-1010:1 ^GeneID:24092836^ Badger feces-associated gemycircularvirus strain 588t, complete genome.|neighbours:start(),ID:YP_009130622.1(-1)|neighbour_genes:start(),rep|
2,Badger-associated-gemykibivirus-1_taxid_1634484.gbk,ID:YP_009130622.1 |[Badger associated gemykibivirus 1]|588t|Badger-associated-gemykibivirus-1_taxid_1634484.gbk|rep|990|NC_026806(2112):995-2083:-1 ^GeneID:24092835^ |neighbours:ID:YP_009130621.1(1),end()|neighbour_genes:capsid,end()|
3,Bark-beetle-associated-genomovirus-1_taxid_2230896.gbk,ID:YP_009551419.1 |[Bark beetle-associated genomovirus 1]||Bark-beetle-associated-genomovirus-1_taxid_2230896.gbk|capsid protein|939|NC_040347(2123):112-1050:1 ^GeneID:41702240^ Bark beetle-associated genomovirus 1 isolate BbaGV-1_US-AB02_739-2014, complete genome.|neighbours:start(),ID:YP_009551420.1(-1)|neighbour_genes:start(),replication-associat..|
4,Bark-beetle-associated-genomovirus-1_taxid_2230896.gbk,ID:YP_009551420.1 |[Bark beetle-associated genomovirus 1]||Bark-beetle-associated-genomovirus-1_taxid_2230896.gbk|replication-associat..|960|NC_040347(2123):1028-2095:-1 ^GeneID:41702239^ |neighbours:ID:YP_009551419.1(1),end()|neighbour_genes:capsid protein,end()|
5,Bark-beetle-associated-genomovirus-5_taxid_2230900.gbk,ID:YP_009551469.1 |[Bark beetle-associated genomovirus 5]||Bark-beetle-associated-genomovirus-5_taxid_2230900.gbk|capsid protein|945|NC_040370(2205):121-1065:1 ^GeneID:41702243^ Bark beetle-associated genomovirus 5 isolate BbaGV-5_US-AB01_6-2014, complete genome.|neighbours:start(),ID:YP_009551470.1(-1)|neighbour_genes:start(),replication-associat..|
6,Bark-beetle-associated-genomovirus-5_taxid_2230900.gbk,ID:YP_009551470.1 |[Bark beetle-associated genomovirus 5]||Bark-beetle-associated-genomovirus-5_taxid_2230900.gbk|replication-associat..|1029|NC_040370(2205):1040-2174:-1 ^GeneID:41702242^ |neighbours:ID:YP_009551469.1(1),end()|neighbour_genes:capsid protein,end()|
7,Bemisia-associated-genomovirus-AdDF_taxid_1986477.gbk,ID:YP_009388633.1 |[Bemisia-associated genomovirus AdDF]||Bemisia-associated-genomovirus-AdDF_taxid_1986477.gbk|CP|873|NC_035137(2199):133-1005:1 ^GeneID:33194367^ Bemisia-associated genomovirus AdDF, complete genome.|neighbours:start(),ID:YP_009388634.2(-1)|neighbour_genes:start(),Rep|
8,Bemisia-associated-genomovirus-AdDF_taxid_1986477.gbk,ID:YP_009388634.2 |[Bemisia-associated genomovirus AdDF]||Bemisia-associated-genomovirus-AdDF_taxid_1986477.gbk|Rep|963|NC_035137(2199):1007-2170:-1 ^GeneID:33194366^ |neighbours:ID:YP_009388633.1(1),end()|neighbour_genes:CP,end()|
9,Bemisia-associated-genomovirus-AdO_taxid_1986478.gbk,ID:YP_009388635.1 |[Bemisia-associated genomovirus AdO]||Bemisia-associated-genomovirus-AdO_taxid_1986478.gbk|CP|777|NC_035138(2211):131-907:1 ^GeneID:33194370^ Bemisia-associated genomovirus AdO, complete genome.|neighbours:start(),ID:YP_009388636.1(-1)|neighbour_genes:start(),Rep|
10,Bemisia-associated-genomovirus-AdO_taxid_1986478.gbk,ID:YP_009388636.1 |[Bemisia-associated genomovirus AdO]||Bemisia-associated-genomovirus-AdO_taxid_1986478.gbk|Rep|1029|NC_035138(2211):1041-2182:-1 ^GeneID:33194369^ |neighbours:ID:YP_009388635.1(1),end()|neighbour_genes:CP,end()|
11,Bemisia-associated-genomovirus-NfO_taxid_1986479.gbk,ID:YP_009388637.1 |[Bemisia-associated genomovirus NfO]||Bemisia-associated-genomovirus-NfO_taxid_1986479.gbk|CP|957|NC_035139(2231):140-1096:1 ^GeneID:33194373^ Bemisia-associated genomovirus NfO, complete genome.|neighbours:start(),ID:YP_009388638.2(-1)|neighbour_genes:start(),Rep|
12,Bemisia-associated-genomovirus-NfO_taxid_1986479.gbk,ID:YP_009388638.2 |[Bemisia-associated genomovirus NfO]||Bemisia-associated-genomovirus-NfO_taxid_1986479.gbk|Rep|960|NC_035139(2231):1071-2206:-1 ^GeneID:33194372^ |neighbours:ID:YP_009388637.1(1),end()|neighbour_genes:CP,end()|
13,Black-robin-associated-gemykibivirus-1_taxid_1391037.gbk,ID:YP_009109722.1 |[Black robin associated gemykibivirus 1]||Black-robin-associated-gemykibivirus-1_taxid_1391037.gbk|capsid protein|909|NC_025732(2174):118-1026:1 ^GeneID:22284084^ Faecal-associated gemycircularvirus 8, complete genome.|neighbours:start(),ID:YP_009109723.1(-1)|neighbour_genes:start(),replication associat..|
14,Black-robin-associated-gemykibivirus-1_taxid_1391037.gbk,ID:YP_009109723.1 |[Black robin associated gemykibivirus 1]||Black-robin-associated-gemykibivirus-1_taxid_1391037.gbk|replication associat..|963|NC_025732(2174):1000-2135:-1 ^GeneID:22284083^ |neighbours:ID:YP_009109722.1(1),end()|neighbour_genes:capsid protein,end()|
15,Blackbird-associated-gemycircularvirus-1_taxid_1985371.gbk,ID:YP_009109740.1 |[Blackbird associated gemycircularvirus 1]||Blackbird-associated-gemycircularvirus-1_taxid_1985371.gbk|capsid protein|936|NC_025741(2197):86-1021:1 ^GeneID:22284191^ Blackbird associated gemycircularvirus 1 isolate as41, complete genome.|neighbours:start(),ID:YP_009109741.1(-1)|neighbour_genes:start(),replication associat..|
16,Blackbird-associated-gemycircularvirus-1_taxid_1985371.gbk,ID:YP_009109741.1 |[Blackbird associated gemycircularvirus 1]||Blackbird-associated-gemycircularvirus-1_taxid_1985371.gbk|replication associat..|1020|NC_025741(2197):999-2178:-1 ^GeneID:22284190^ |neighbours:ID:YP_009109740.1(1),end()|neighbour_genes:capsid protein,end()|
