cluster	prevalence	term	what	familia	algoritmo
1_II	7.142857142857142	DNA replication [GO:0006260]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
1_II	7.142857142857142	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	protein secretion [GO:0009306]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	viral extrusion [GO:0099045]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
112_hypothetical_protein	2.380952380952381	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
113_hypothetical_protein	9.523809523809524	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
116_hypothetical_protein	2.380952380952381	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
125_hypothetical_protein	4.761904761904762	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
128_hypothetical_protein	2.380952380952381	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
15_III	2.380952380952381	adhesion receptor-mediated virion attachment to host cell [GO:0098671]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
15_III	2.380952380952381	entry receptor-mediated virion attachment to host cell [GO:0098670]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
15_III	2.380952380952381	pathogenesis [GO:0009405]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
