"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_ORF2",1,1,"PF02957_","1_ORF2.faa","1_ORF2.fna","1619218",4.34782608695652
"2","2_ORF1",22,22,"PF02956_","2_ORF1.faa","2_ORF1.fna","1619218_1619219_1619220_1629656_1629657_687383_687349_687351_687354_687355_687358_687340_687364_687365_687366_687367_687368_687342_687343_687345_687346_687347",95.6521739130435
"3","3_ORF3",1,1,"PF05501_","3_ORF3.faa","3_ORF3.fna","1619218",4.34782608695652
"4","4_ORF2",5,5,"PF02957_","4_ORF2.faa","4_ORF2.fna","1619219_1619220_1629656_687354_687355",21.7391304347826
"5","6_ORF3",1,1,"PF05501_","6_ORF3.faa","6_ORF3.fna","1619219",4.34782608695652
"6","7_ORF4",1,1,"","7_ORF4.faa","7_ORF4.fna","1619219",4.34782608695652
"7","10_ORF3",1,1,"","10_ORF3.faa","10_ORF3.fna","1619220",4.34782608695652
"8","11_ORF4",2,2,"","11_ORF4.faa","11_ORF4.fna","1619220_1629656",8.69565217391304
"9","14_ORF3",1,1,"","14_ORF3.faa","14_ORF3.fna","1629656",4.34782608695652
"10","16_ORF2",1,1,"PF08197_PF02957_","16_ORF2.faa","16_ORF2.fna","1629657",4.34782608695652
"11","18_ORF3",1,1,"PF05501_","18_ORF3.faa","18_ORF3.fna","1629657",4.34782608695652
"12","19_ORF4",1,1,"","19_ORF4.faa","19_ORF4.fna","1629657",4.34782608695652
"13","20_hypothetical_protein",1,1,"PF02957_","20_hypothetical_protein.faa","20_hypothetical_protein.fna","687383",4.34782608695652
"14","22_hypothetical_protein",1,1,"","22_hypothetical_protein.faa","22_hypothetical_protein.fna","687383",4.34782608695652
"15","23_hypothetical_protein",2,2,"PF02957_","23_hypothetical_protein.faa","23_hypothetical_protein.fna","687349_687351",8.69565217391304
"16","24_hypothetical_protein",2,2,"PF02957_PF05501_","24_hypothetical_protein.faa","24_hypothetical_protein.fna","687349_687351",8.69565217391304
"17","25_hypothetical_protein",2,2,"PF02957_","25_hypothetical_protein.faa","25_hypothetical_protein.fna","687349_687351",8.69565217391304
"18","31_hypothetical_protein",1,1,"PF02957_","31_hypothetical_protein.faa","31_hypothetical_protein.fna","687353",4.34782608695652
"19","32_hypothetical_protein",1,1,"PF02956_PF05501_","32_hypothetical_protein.faa","32_hypothetical_protein.fna","687353",4.34782608695652
"20","37_hypothetical_protein",1,1,"PF02957_","37_hypothetical_protein.faa","37_hypothetical_protein.fna","687358",4.34782608695652
"21","39_orf2-5",1,1,"PF02957_","39_orf2-5.faa","39_orf2-5.fna","687340",4.34782608695652
"22","40_orf2-4",1,1,"PF02957_PF05501_","40_orf2-4.faa","40_orf2-4.fna","687340",4.34782608695652
"23","42_hypothetical_protein",1,1,"PF02957_","42_hypothetical_protein.faa","42_hypothetical_protein.fna","687364",4.34782608695652
"24","44_hypothetical_protein",1,1,"","44_hypothetical_protein.faa","44_hypothetical_protein.fna","687364",4.34782608695652
"25","45_hypothetical_protein",1,1,"PF02957_","45_hypothetical_protein.faa","45_hypothetical_protein.fna","687365",4.34782608695652
"26","47_hypothetical_protein",1,1,"","47_hypothetical_protein.faa","47_hypothetical_protein.fna","687365",4.34782608695652
"27","48_hypothetical_protein",2,1,"PF02957_","48_hypothetical_protein.faa","48_hypothetical_protein.fna","687366_687366",4.34782608695652
"28","49_hypothetical_protein",1,1,"PF02957_PF05501_","49_hypothetical_protein.faa","49_hypothetical_protein.fna","687366",4.34782608695652
"29","52_hypothetical_protein",8,4,"PF02957_","52_hypothetical_protein.faa","52_hypothetical_protein.fna","687367_687367_687342_687342_687345_687345_687347_687347",17.3913043478261
"30","53_hypothetical_protein",4,4,"PF02957_PF05501_","53_hypothetical_protein.faa","53_hypothetical_protein.fna","687367_687342_687345_687347",17.3913043478261
"31","56_hypothetical_protein",1,1,"PF02957_","56_hypothetical_protein.faa","56_hypothetical_protein.fna","687368",4.34782608695652
"32","58_hypothetical_protein",1,1,"","58_hypothetical_protein.faa","58_hypothetical_protein.fna","687368",4.34782608695652
"33","62_ORF1-2",1,1,"","62_ORF1-2.faa","62_ORF1-2.fna","687342",4.34782608695652
"34","64_ORF1-1",1,1,"","64_ORF1-1.faa","64_ORF1-1.fna","687342",4.34782608695652
"35","65_hypothetical_protein",1,1,"PF02957_","65_hypothetical_protein.faa","65_hypothetical_protein.fna","687343",4.34782608695652
"36","71_ORF2",1,1,"PF02957_","71_ORF2.faa","71_ORF2.fna","687346",4.34782608695652
"37","73_ORF3",1,1,"","73_ORF3.faa","73_ORF3.fna","687346",4.34782608695652
