"","DNA binding","single-stranded DNA binding","DNA replication","protein secretion","DNA replication initiation","DNA topoisomerase activity"
"1_II",NA,NA,TRUE,NA,NA,NA
"2_X",NA,NA,TRUE,NA,NA,NA
"3_V",NA,TRUE,TRUE,NA,NA,NA
"10_IV",NA,NA,NA,TRUE,NA,NA
"12_IV",NA,NA,NA,TRUE,NA,NA
"13_replication_initiati..",NA,NA,TRUE,NA,NA,NA
"14_X",NA,NA,TRUE,NA,NA,NA
"88_DNA_replication_init..",TRUE,NA,NA,NA,TRUE,TRUE
