"","DNA binding","host cell membrane","structural molecule activity","viral capsid","DNA replication","viral process","transport of virus in host, cell to cell","modulation by virus of host process","negative regulation of gene silencing by RNA","host cell cytoplasm","endodeoxyribonuclease activity, producing 5'-phosphomonoesters"
"59_BR1",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"60_BL1",TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"56_AR1",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"57_AL3",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"58_AL2",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"6_AC1",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE
"30_AV2",NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"752_AV2",NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
