cluster	prevalence	term	what	familia	algoritmo
100_E	11.627906976744185	cytolysis [GO:0019835]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
100_E	11.627906976744185	suppression by virus of host peptidoglycan biosynthetic process [GO:0039635]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
100_E	11.627906976744185	viral release by cytolysis via suppression of host peptidoglycan biosynthetic process [GO:0039640]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
100_E	11.627906976744185	viral release from host cell by cytolysis [GO:0044659]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
100_E	11.627906976744185	modulation by virus of host cellular process [GO:0019054]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
102_F	11.627906976744185	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
103_G	11.627906976744185	modulation by virus of host process [GO:0019048]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
103_G	11.627906976744185	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
103_G	11.627906976744185	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
104_H	11.627906976744185	lipopolysaccharide-mediated virion attachment to host cell [GO:0039638]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
104_H	11.627906976744185	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
161_DNA_pilot_protein_VP..	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
167_DNA_pilot_protein_VP..	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
188_minor_capsid_protein	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
190_minor_capsid_protein	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
2_nonstructural_protei..	34.883720930232556	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
2_nonstructural_protei..	34.883720930232556	viral process [GO:0016032]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
280_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
281_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
282_hypothetical_protein	2.3255813953488373	viral process [GO:0016032]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
285_minor_capsid_protein	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
29_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
30_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
31_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
32_minor_capsid_protein	13.953488372093023	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
33_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
38_minor_CP_2	4.651162790697675	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
45_minor_CP_2	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
6_minor_capsid_protein	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
83_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
84_minor_capsid_protein	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
87_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
94_A	11.627906976744185	DNA replication [GO:0006260]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
94_A	11.627906976744185	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
94_A	11.627906976744185	viral DNA genome replication [GO:0039693]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
96_B	11.627906976744185	viral scaffold assembly and maintenance [GO:0046807]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
96_B	11.627906976744185	viral capsid assembly [GO:0019069]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
97_K	11.627906976744185	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
98_C	11.627906976744185	viral DNA genome packaging [GO:0019073]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
99_D	11.627906976744185	viral procapsid maturation [GO:0046797]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
100_E	11.627906976744185	host cell plasma membrane [GO:0020002]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
100_E	11.627906976744185	integral component of membrane [GO:0016021]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
101_J	9.30232558139535	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
101_J	9.30232558139535	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
102_F	11.627906976744185	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
103_G	11.627906976744185	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
103_G	11.627906976744185	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
104_H	11.627906976744185	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
161_DNA_pilot_protein_VP..	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
167_DNA_pilot_protein_VP..	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
188_minor_capsid_protein	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
190_minor_capsid_protein	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
2_nonstructural_protei..	34.883720930232556	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
20_major_capsid_protein	4.651162790697675	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
20_major_capsid_protein	4.651162790697675	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
279_hypothetical_protein	2.3255813953488373	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
279_hypothetical_protein	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
280_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
281_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
283_hypothetical_protein	2.3255813953488373	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
285_minor_capsid_protein	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
286_hypothetical_protein	2.3255813953488373	host cell membrane [GO:0033644]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
286_hypothetical_protein	2.3255813953488373	integral component of membrane [GO:0016021]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
29_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
30_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
31_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
32_minor_capsid_protein	13.953488372093023	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
33_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
36_putative_DNA_binding..	2.3255813953488373	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
36_putative_DNA_binding..	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
37_hypothetical_protein	2.3255813953488373	host cell membrane [GO:0033644]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
37_hypothetical_protein	2.3255813953488373	integral component of membrane [GO:0016021]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
38_minor_CP_2	4.651162790697675	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
45_minor_CP_2	2.3255813953488373	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
5_major_capsid_protein	79.06976744186046	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	COG
