cluster1_Putative_nonstructur..	size1	taxa1		file1_Putative_nonstructur...faa	dnafile1_Putative_nonstructur...fna	185639
cluster2_Putative_nonstructur..	size17	taxa17	PfamPF01057,	file2_Putative_nonstructur...faa	dnafile2_Putative_nonstructur...fna	185639_1404345_220638_46253_125788_180586_1469956_292208_1776153_551224_1045778_1221208_1907771_159153_1979755_1217821_1414671
cluster3_Putative_nonstructur..	size2	taxa2		file3_Putative_nonstructur...faa	dnafile3_Putative_nonstructur...fna	185639_1414671
cluster4_Putative_structural_..	size9	taxa7	PfamPF02336,	file4_Putative_structural_...faa	dnafile4_Putative_structural_...fna	185639_220638_220638_220638_551224_210016_1907771_159153_1414671
cluster5_Putative_structural_..	size1	taxa1	PfamPF08398,	file5_Putative_structural_...faa	dnafile5_Putative_structural_...fna	185639
cluster6_NS3	size1	taxa1		file6_NS3.faa	dnafile6_NS3.fna	1404345
cluster8_NS2	size1	taxa1		file8_NS2.faa	dnafile8_NS2.fna	1404345
cluster9_VP1	size1	taxa1	PfamPF08398,PF02336,PF02336,	file9_VP1.faa	dnafile9_VP1.fna	1404345
cluster10_nonstructural_protei..	size31	taxa30	PfamPF08724,PF01057,	file10_nonstructural_protei...faa	dnafile10_nonstructural_protei...fna	85106_10804_10804_46350_57579_272636_1131485_219704_281492_1670662_1917013_256548_494651_172297_56820_1131483_2079554_38251_72197_1511919_37325_1096142_119755_494652_1208310_119756_1519097_31598_1581151_1908804_1511914
cluster11_capsid_protein	size57	taxa57	PfamPF08398,PF00740,	file11_capsid_protein.faa	dnafile11_capsid_protein.fna	85106_10804_46350_57579_272636_1131485_281492_2259810_1329649_1670662_864686_1917013_256548_494651_365609_1391667_1073959_1073961_1511885_329639_10788_56820_2014603_1131483_2259807_1174530_38251_1511882_638313_1511883_72197_2169774_2017714_1756191_2259808_10794_37325_1195367_1096142_119755_795694_1084715_1131622_1165907_10796_1511871_1511907_1788315_119756_2053079_2053080_31598_1581151_1908804_1864484_1511914_1245561
cluster14_Rep_40_protein	size42	taxa38	PfamPF01057,	file14_Rep_40_protein.faa	dnafile14_Rep_40_protein.fna	10804_10804_2259810_2259811_1329649_864686_912967_365609_365609_1073959_1073961_1511885_329639_717641_2014603_2014604_1417756_2259807_1174530_1511882_638313_1511883_1511883_2169774_2017714_1911554_2259808_1195367_795694_1084715_1084717_1131622_1511887_1165907_1511871_1788315_1788315_2053079_2053080_2053082_740934_1864484
cluster17_major_coat_protein_V..	size48	taxa42	PfamPF00740,	file17_major_coat_protein_V...faa	dnafile17_major_coat_protein_V...fna	10804_10804_28314_1908805_2259810_1329649_864686_912967_912967_494651_365609_172297_1391667_1073959_1073961_1511885_329639_56820_2014603_2014604_1131483_2259807_1174530_38251_38251_1511882_638313_1511883_72197_1756191_2259808_10794_37325_37325_1195367_1096142_1084715_1511887_1511887_1165907_10796_1511871_1511907_1513315_1513315_1788315_31598_1511914
cluster18_assembly_activating_..	size2	taxa2		file18_assembly_activating_...faa	dnafile18_assembly_activating_...fna	10804_1670662
cluster20_X_gene	size1	taxa1		file20_X_gene.faa	dnafile20_X_gene.fna	10804
cluster27_hypothetical_protein	size3	taxa3	PfamPF12475,PF12475,PF12433,PF01057,	file27_hypothetical_protein.faa	dnafile27_hypothetical_protein.fna	28314_1908805_1513315
cluster28_hypothetical_protein	size1	taxa1		file28_hypothetical_protein.faa	dnafile28_hypothetical_protein.fna	28314
cluster29_hypothetical_protein	size1	taxa1		file29_hypothetical_protein.faa	dnafile29_hypothetical_protein.fna	28314
cluster36_Cap	size11	taxa11	PfamPF08398,PF00740,PF00740,	file36_Cap.faa	dnafile36_Cap.fna	219704_2259811_2079554_1417756_1511919_1911554_1084717_494652_1208310_2053082_1519097
cluster40_NP1	size34	taxa34	PfamPF11733,	file40_NP1.faa	dnafile40_NP1.fna	2259810_2259811_1329649_864686_912967_365609_1073959_1073961_1511885_329639_2014603_2014604_1417756_2259807_1174530_1511882_638313_1511883_2169774_2017714_1911554_2259808_1195367_795694_1084715_1084717_1131622_1511887_1165907_1511871_1788315_2053079_2053080_2053082
cluster46_VP2	size14	taxa11	PfamPF00740,PF00740,	file46_VP2.faa	dnafile46_VP2.fna	2259811_717641_717641_1417756_1911554_795694_1084717_1131622_494652_1208310_740933_740933_740934_740934
cluster54_non-structural_prote..	size2	taxa2		file54_non-structural_prote...faa	dnafile54_non-structural_prote...fna	220638_1907771
cluster56_non-structural_prote..	size2	taxa2		file56_non-structural_prote...faa	dnafile56_non-structural_prote...fna	220638_1907771
cluster69_NS2	size7	taxa7		file69_NS2.faa	dnafile69_NS2.fna	46253_125788_180586_1469956_292208_1221208_1217821
cluster70_capsid_protein_VP	size7	taxa7	PfamPF08398,PF01057,	file70_capsid_protein_VP.faa	dnafile70_capsid_protein_VP.fna	46253_125788_180586_292208_1045778_1221208_1217821
cluster73_orf4	size1	taxa1		file73_orf4.faa	dnafile73_orf4.fna	125788
cluster89_NS1	size4	taxa4	PfamPF12433,PF01057,	file89_NS1.faa	dnafile89_NS1.fna	1391667_1756191_1511907_1245561
cluster91_hypothetical_protein	size2	taxa2		file91_hypothetical_protein.faa	dnafile91_hypothetical_protein.fna	1391667_1511907
cluster109_polyprotein	size5	taxa4	PfamPF12433,PF01057,PF12117,	file109_polyprotein.faa	dnafile109_polyprotein.fna	10788_10794_10794_10796_74581
cluster111_hypothetical_protein	size1	taxa1	PfamPF00740,	file111_hypothetical_protein.faa	dnafile111_hypothetical_protein.fna	10788
cluster116_NP1	size3	taxa3		file116_NP1.faa	dnafile116_NP1.fna	717641_740933_740934
cluster120_NS2	size1	taxa1		file120_NS2.faa	dnafile120_NS2.fna	56820
cluster125_cap	size1	taxa1	PfamPF01057,	file125_cap.faa	dnafile125_cap.fna	1469956
cluster129_putative_nonstructur..	size1	taxa1		file129_putative_nonstructur...faa	dnafile129_putative_nonstructur...fna	1776153
cluster131_putative_structural_..	size1	taxa1	PfamPF02336,PF02336,	file131_putative_structural_...faa	dnafile131_putative_structural_...fna	1776153
cluster132_putative_structural_..	size1	taxa1	PfamPF08398,	file132_putative_structural_...faa	dnafile132_putative_structural_...fna	1776153
cluster141_putative_non-structu..	size1	taxa1		file141_putative_non-structu...faa	dnafile141_putative_non-structu...fna	551224
cluster143_putative_structural_..	size1	taxa1		file143_putative_structural_...faa	dnafile143_putative_structural_...fna	551224
cluster146_MARF	size1	taxa1		file146_MARF.faa	dnafile146_MARF.fna	1131483
cluster166_NS2	size1	taxa1		file166_NS2.faa	dnafile166_NS2.fna	1045778
