QueryID,SubjectID,Perc.Ident,Alignment.Length,Mismatches,Gap.Openings,Q.start,Q.end,S.start,S.end,E,Bits
ID:YP_009345104.1,ID:YP_009345104.1,100,154,0,0,1,154,1,154,6.43e-118,316
ID:YP_009345094.1,ID:YP_009345094.1,100,174,0,0,1,174,1,174,1.33e-130,350
ID:YP_009345095.1,ID:YP_009345095.1,100,210,0,0,1,210,1,210,8.5e-160,427
ID:YP_009109632.1,ID:YP_009109632.1,100,162,0,0,1,162,1,162,1.71e-125,336
ID:YP_009109633.1,ID:YP_009109633.1,100,240,0,0,1,240,1,240,7.54e-180,480
ID:YP_473358.1,ID:YP_473358.1,100,208,0,0,1,208,1,208,1.33e-161,431
ID:YP_009345105.1,ID:YP_009345105.1,100,221,0,0,1,221,1,221,5.79e-164,439
ID:YP_009345105.1,ID:YP_009345084.1,27.711,166,92,2,75,221,21,177,3.49e-17,63.9
ID:YP_009345105.1,ID:YP_009345084.1,27.778,18,13,0,142,159,15,32,0.58,16.5
ID:YP_009345084.1,ID:YP_009345084.1,100,178,0,0,1,178,1,178,9.04e-133,357
ID:YP_009345084.1,ID:YP_009345105.1,26.984,126,83,1,21,137,75,200,8.79e-17,62.4
ID:YP_009345084.1,ID:YP_009345105.1,26.316,19,14,0,14,32,141,159,0.53,16.5
ID:YP_473360.1,ID:YP_473360.1,100,196,0,0,1,196,1,196,2.35e-147,394
ID:YP_473361.1,ID:YP_473361.1,100,102,0,0,1,102,1,102,3.69e-73,199
ID:YP_473363.1,ID:YP_473363.1,100,328,0,0,1,328,1,328,0,671
ID:YP_473363.1,ID:YP_004286320.1,43.416,281,145,4,5,281,17,287,2.53e-72,216
ID:YP_473363.1,ID:YP_009001775.1,36.683,199,114,6,93,291,5,191,1.02e-28,99
ID:YP_004286320.1,ID:YP_004286320.1,100,331,0,0,1,331,1,331,0,682
ID:YP_004286320.1,ID:YP_473363.1,43.416,281,145,5,17,287,5,281,5.17e-69,207
ID:YP_004286320.1,ID:YP_009001775.1,39.062,192,106,3,101,289,1,184,1.95e-40,129
ID:YP_009001775.1,ID:YP_009001775.1,100,210,0,0,1,210,1,210,8.84e-159,426
ID:YP_009001775.1,ID:YP_004286320.1,39.062,192,106,3,1,184,101,289,3.66e-35,115
ID:YP_009001775.1,ID:YP_473363.1,36.5,200,113,6,5,191,93,291,5.84e-27,93.6
ID:YP_009345106.1,ID:YP_009345106.1,100,372,0,0,1,372,1,372,0,783
ID:YP_009345106.1,ID:YP_009345085.1,58.621,377,145,6,2,372,3,374,8.05e-154,428
ID:YP_009345106.1,ID:YP_009109634.1,33.529,340,182,9,51,363,43,365,2.95e-48,157
ID:YP_009345106.1,ID:YP_009345096.1,31.006,358,202,12,12,345,20,356,3.33e-48,157
ID:YP_009345106.1,ID:YP_004046697.1,25.135,370,225,13,3,346,10,353,3.33e-30,108
ID:YP_009345106.1,ID:YP_473362.1,27.778,324,192,12,52,345,57,368,8.15e-24,90.9
ID:YP_009345106.1,ID:YP_004286321.1,27.123,365,206,15,14,340,23,365,7.11e-21,82.4
ID:YP_009345106.1,ID:YP_009001776.1,25,368,233,12,4,340,5,360,5.36e-18,73.6
ID:YP_009345085.1,ID:YP_009345085.1,100,377,0,0,1,377,1,377,0,789
ID:YP_009345085.1,ID:YP_009345106.1,60.795,352,129,5,24,374,29,372,1.57e-158,440
ID:YP_009345085.1,ID:YP_009109634.1,35.714,336,181,7,52,366,44,365,2.62e-54,173
ID:YP_009345085.1,ID:YP_009345096.1,32.941,340,205,8,30,357,29,357,2.06e-51,166
ID:YP_009345085.1,ID:YP_004046697.1,24.533,375,235,12,4,353,6,357,1.78e-29,107
ID:YP_009345085.1,ID:YP_473362.1,27.011,348,211,12,30,348,35,368,9.26e-26,96.7
ID:YP_009345085.1,ID:YP_004286321.1,26.462,359,211,14,20,343,25,365,2.37e-24,92.4
ID:YP_009345085.1,ID:YP_009001776.1,25.389,386,227,13,5,350,3,367,7.66e-22,85.1
ID:YP_009345096.1,ID:YP_009345096.1,100,369,0,0,1,369,1,369,0,776
ID:YP_009345096.1,ID:YP_009109634.1,38.261,345,178,10,42,367,35,363,1.06e-66,205
ID:YP_009345096.1,ID:YP_009345085.1,34.202,307,179,8,51,346,52,346,5.69e-50,162
ID:YP_009345096.1,ID:YP_009345106.1,32.153,339,195,12,29,356,31,345,1.2e-47,155
ID:YP_009345096.1,ID:YP_009001776.1,32.588,313,181,10,47,341,58,358,3.86e-38,130
ID:YP_009345096.1,ID:YP_009001776.1,28,50,31,2,5,54,308,352,9.1,16.5
ID:YP_009345096.1,ID:YP_473362.1,30.746,335,202,12,45,361,51,373,2.17e-35,123
ID:YP_009345096.1,ID:YP_473362.1,32.609,46,25,2,9,54,316,355,0.16,22.3
ID:YP_009345096.1,ID:YP_004286321.1,28.274,336,210,11,28,341,37,363,4.37e-33,117
ID:YP_009345096.1,ID:YP_004046697.1,26.126,333,212,10,28,340,26,344,6.86e-32,113
ID:YP_009345096.1,ID:YP_004046697.1,34.375,32,20,1,23,54,309,339,0.64,20.4
ID:YP_009109634.1,ID:YP_009109634.1,100,366,0,0,1,366,1,366,0,764
ID:YP_009109634.1,ID:YP_009345096.1,38.484,343,176,10,35,361,42,365,8.96e-67,205
ID:YP_009109634.1,ID:YP_009345085.1,36.19,315,167,6,44,344,52,346,9.71e-54,172
ID:YP_009109634.1,ID:YP_009345106.1,33.06,366,196,11,17,365,30,363,6.1e-49,159
ID:YP_009109634.1,ID:YP_004286321.1,28.612,353,221,9,4,339,25,363,6.98e-36,124
ID:YP_009109634.1,ID:YP_004046697.1,28.191,376,197,15,2,338,3,344,1.59e-31,112
ID:YP_009109634.1,ID:YP_473362.1,27.841,352,214,11,13,339,25,361,1.72e-31,112
ID:YP_009109634.1,ID:YP_009001776.1,30.53,321,186,8,39,340,57,359,2.86e-31,112
ID:YP_473362.1,ID:YP_473362.1,100,392,0,0,1,392,1,392,0,816
ID:YP_473362.1,ID:YP_004286321.1,52.88,382,158,10,17,388,21,390,2.01e-133,378
ID:YP_473362.1,ID:YP_009001776.1,46.348,397,192,9,1,388,1,385,8.08e-116,333
ID:YP_473362.1,ID:YP_004046697.1,36.272,397,198,14,2,379,3,363,5.06e-67,207
ID:YP_473362.1,ID:YP_009345096.1,31.195,343,190,14,51,373,45,361,3.57e-37,128
ID:YP_473362.1,ID:YP_009345096.1,37.5,32,19,1,325,355,23,54,0.17,22.3
